# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:12 BST 2015 [seed=1430153531415]
state	age(VIETNAM_3062_2004)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
433000	1.9290235268839897	-4662.5465117009835	-296.4180009239013	-4366.128510777082	10.035279898782695	98.91025156068304	6.1024736190860125	1.6658937425756652	0.9873702408768583	1.4110249587332018	4.0	10.0	2.0	3.0	1.0	7.489600374141441	0.7780068898668178	0.4992443887581439	1.7227487213750439	0.003398747831495444	-1233.3733609610827	-1195.4252800447168	-1937.3298697712826	-50.29475009321854
434000	1.54939240426445	-4658.010703223864	-289.70879569703436	-4368.301907526829	10.14265330167301	18.46348264623405	9.477017922824851	0.6829422871516438	0.3632714726308664	0.8303167761168928	3.0	10.0	3.0	3.0	1.0	7.922198748910148	0.8171241717773696	0.42954897458473257	1.7533268536379032	0.0038831497811183625	-1234.457632167983	-1193.9059182049893	-1939.9383571538567	-47.29117467190987
435000	1.9441885674930601	-4659.719232029907	-288.5565130936666	-4371.162718936241	8.734968821070385	26.671980560401444	9.46977827342085	1.055638622226252	0.2244961729991564	0.3655964307984049	2.0	11.0	1.0	5.0	1.0	7.922198748910148	0.5370251910050534	0.6981423875594543	1.7648324214354978	0.0038970044090371144	-1234.0337326630452	-1192.8465639697947	-1944.2824223034006	-46.54504910188106
436000	1.8894520054527475	-4660.627046675044	-291.7462134098323	-4368.880833265212	8.659795989805334	36.359475164630375	6.412334599391961	1.965551251649144	1.8152286367097434	1.8105300332858	2.0	11.0	1.0	4.0	2.0	8.568061763438298	0.6536312866169456	0.5609799398550719	1.7853887735279883	0.004703851481392325	-1235.7156728184711	-1192.9989847489244	-1940.1661756978165	-46.61872634762446
437000	1.8894520054527475	-4661.60934146088	-303.1461167982763	-4358.463224662604	10.353591638724433	93.78583964416929	8.748306150285382	4.3193214374402435	1.57975779868901	5.778496046367602	2.0	8.0	2.0	6.0	2.0	8.568061763438298	0.6414665079346998	0.5527153004873103	1.8058181915779958	0.00378450245579026	-1234.1460075453047	-1191.3107336928194	-1933.0064834244806	-52.95771749735229
438000	2.2481545026835015	-4672.17204237973	-301.30546481225883	-4370.866577567471	11.054579670212396	27.96651673912505	6.653614743302046	6.206590363952842	5.381241471686968	6.939422382309645	3.0	10.0	2.0	4.0	1.0	7.418363037458669	0.624476959837122	0.6440962755834804	1.7314267645794035	0.003263208829647848	-1235.4689866732456	-1195.9139457404988	-1939.483645153727	-53.649983234787676
439000	1.71460223999842	-4665.138925597524	-304.08492900823785	-4361.053996589286	11.89225997625202	40.39152889528576	8.757123923165077	3.1294059230965297	7.674551704687248	2.673500069105401	3.0	6.0	2.0	5.0	4.0	8.62311209541217	0.6257678447380415	0.6153367611545308	1.7588953941074335	0.0031473234423206467	-1232.92564995511	-1191.3995690213558	-1936.7287776128203	-55.55119345636312
440000	2.406993179449912	-4665.208497732947	-303.6096045456238	-4361.598893187323	10.900924747363659	24.001232267174544	13.600426731368307	6.668029482909193	3.7608043869939785	1.3798275751833358	4.0	6.0	1.0	6.0	3.0	9.122062547886275	0.6236836277103656	0.5465938658020452	1.829722506487595	0.0030063171154027755	-1233.4672546219442	-1190.4634114669423	-1937.6682270984359	-56.96429199621143
441000	1.8397299326429521	-4664.315916778662	-303.23092336618754	-4361.084993412474	11.378584192143288	26.802742291199717	11.307147214789131	6.474515923378058	4.696004094896631	0.8438405088587367	4.0	6.0	2.0	4.0	4.0	10.042284692335407	0.5514511446648579	0.5918003078904356	1.8567485474447123	0.003220089595012497	-1233.1759848242307	-1190.3216019200768	-1937.5874066681672	-56.34911190340188
442000	2.295625598648877	-4661.308914015138	-298.52000857158504	-4362.788905443553	11.112896527930216	39.981600309446655	18.390926064405615	4.363244432757239	2.7845991719841128	0.7580495520456111	1.0	3.0	5.0	8.0	3.0	6.73261538198515	0.5252988302638845	0.5911635066949112	1.88353766304121	0.003331876730965327	-1235.103402799109	-1191.211862252194	-1936.4736403922498	-51.96086108045994
