# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:41 BST 2015 [seed=1430153560514]
state	age(CHICKEN_THAILAND_KANCHANABURI_CK_160_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
1149000	1.033811162494077	-4681.042567882771	-311.1516134923125	-4369.890954390459	11.370143352399934	352.73438186714935	34.88188956959918	7.13727674729485	7.285312668462552	2.562891921683347	2.0	3.0	4.0	2.0	9.0	8.248052412423451	0.5761078470988604	0.4976695438368742	1.9262226090642671	0.0030211163431245695	-1235.5596460918102	-1190.9062040315964	-1943.4251042670521	-57.87250429614023
1150000	0.18989712267291026	-4674.134311655972	-307.38042274026776	-4366.753888915704	12.422132899801742	106.08396638997301	29.161898246708528	15.987098750166256	14.858020911731831	2.875753581052835	1.0	2.0	3.0	4.0	10.0	10.00607707926117	0.6400788832615644	0.5755078433481127	1.7844132733903246	0.0033853198152527008	-1232.1270461556414	-1193.2242002747373	-1941.402642485326	-54.7010362636294
1151000	0.7115452863411633	-4681.791892582507	-311.8843643713461	-4369.907528211161	11.682543746584892	43.46898949723948	16.786041729008097	38.741389159455586	29.39003581803213	2.887020204243919	4.0	2.0	3.0	1.0	10.0	7.733076378590574	0.4620905043393042	0.6542562300532369	1.8836532656074607	0.0029829838565138605	-1232.7331298292786	-1194.9591128145294	-1942.2152855673535	-58.62717449679656
1152000	0.351752765833961	-4667.746094612941	-301.84670960717244	-4365.899385005769	9.741008980339174	25.560189327515474	22.687172191983855	4.258672984211884	3.7460800502192537	2.1536410292881367	2.0	4.0	1.0	2.0	11.0	7.733076378590574	0.6935997503623756	0.4975712237283626	1.8088290259092634	0.0036066345617257758	-1232.484824516566	-1192.5597629714796	-1940.8547975177235	-54.63930268201975
1153000	0.8167063902197294	-4672.056457765041	-305.4137378189459	-4366.642719946095	10.735488635228865	23.67050670812759	12.874559232392011	9.301025221484263	4.594418022732974	5.531321058741826	3.0	3.0	1.0	2.0	11.0	7.873253784329435	0.6503095902494537	0.6733939349214183	1.67629647482913	0.003842921683574447	-1233.0803331479865	-1196.313748723438	-1937.2486380746705	-57.48884481981014
1154000	0.1019023633977465	-4666.883122258294	-303.1414783402634	-4363.741643918031	10.069073921299157	66.55195319222057	13.955155595990105	4.368289410041391	7.246571554668872	4.403563411647885	2.0	4.0	3.0	2.0	9.0	8.777146120605002	0.5049565947817418	0.6144729102967305	1.8805704949215292	0.003353112059417679	-1233.5348432211604	-1192.5594581557293	-1937.6473425411407	-53.43481233928837
1155000	0.5663861533906545	-4669.812495373643	-303.8170000036589	-4365.995495369984	10.205349306308875	219.07674023184953	13.907618139148449	12.711132435513957	1.9723224479397086	1.0670859354551419	1.0	7.0	2.0	4.0	6.0	7.611572905111392	0.6521603933850989	0.5084480095563751	1.8393915970585273	0.0035274228251067847	-1233.474551702725	-1195.4139978935611	-1937.1069457736985	-53.222202977506775
1156000	0.009340708095201933	-4671.778839153236	-300.63320710913683	-4371.145632044099	10.432109805463694	34.831408265948745	11.805993568750074	5.074137073491545	3.844648986818562	0.45357114079957783	1.0	10.0	1.0	1.0	7.0	7.602393998248617	0.44207443123324985	0.5862457019229169	1.9716798668438344	0.003494437976528974	-1235.4030162173492	-1193.0391672402568	-1942.7034485864929	-54.16133958254141
1157000	0.25378502750020004	-4661.495065983272	-295.83151449263914	-4365.663551490633	10.410894403461139	49.25126753083592	14.456365730144665	6.124334615648008	3.240104958475399	1.1952524444123087	1.0	5.0	5.0	1.0	8.0	8.765879259225157	0.5529037856656498	0.5851286904469736	1.8619675238873776	0.0038638441235853377	-1231.8762639974175	-1190.8407647879226	-1942.946522705293	-48.334144667818954
1158000	0.4428049496311317	-4671.007646660494	-297.11358843795375	-4373.8940582225405	8.64640335652628	349.853540677114	9.164146659869404	9.689843773747214	1.8628417922173603	0.6867600110918433	1.0	8.0	5.0	3.0	3.0	8.59456281585956	0.6019227357637551	0.66484796561684	1.7332292986194058	0.004916505584770688	-1233.3526254926123	-1191.7003444036425	-1948.841088326286	-46.235971732795676
1159000	0.386360537241456	-4654.549914299653	-289.6452722358171	-4364.904642063836	9.542455543137136	22.062924107594633	6.448395174687747	4.877795082877499	1.0013100708734621	0.6915660251180199	3.0	6.0	5.0	2.0	4.0	8.59456281585956	0.7397584144069873	0.5345634521863886	1.725678133406625	0.004300740291512495	-1235.5932000089044	-1192.8604081393655	-1936.451033915566	-45.65335337946553
1160000	0.12822819606556424	-4657.377353944715	-291.06688646674866	-4366.310467477966	8.392832557379174	16.669572955464947	19.230436510440793	7.591696830685251	2.7596498687322395	0.7591329850270165	1.0	8.0	2.0	3.0	6.0	7.861162686397787	0.7070037492822754	0.5450920079183452	1.7479042427993803	0.004907570351469553	-1231.2308234215554	-1191.7486396474835	-1943.3310044089267	-44.933627154273395
1161000	0.914821759954614	-4650.839996965869	-283.7771426686301	-4367.062854297239	8.255066393946867	16.881833941213635	4.129987125514453	1.6933484269790644	1.7771560515047644	0.17962464839572692	3.0	10.0	5.0	1.0	1.0	9.111209356486281	0.6362251325628162	0.6032229920460336	1.760551875391151	0.005301754125379311	-1231.5190933890053	-1192.0613453459284	-1943.4824155623057	-41.331434748035534
1162000	0.5116238389684238	-4651.330542678337	-285.3968089444678	-4365.933733733869	8.302567065021334	27.861858680744756	4.21993961409519	2.107021986252608	2.206178032913957	0.6754744424093806	3.0	8.0	1.0	5.0	3.0	9.26653681709395	0.6582181732816099	0.5178942715377979	1.823887555180593	0.00544376609582478	-1232.3519680034804	-1191.0245175755522	-1942.5572481548368	-41.2770198807482
1163000	0.7920426555236382	-4649.491733760811	-284.55362476014625	-4364.938109000665	8.355458010047588	31.842342727818174	5.206295871045924	1.2237249420322325	1.2675443012126526	0.370996559579893	4.0	7.0	3.0	4.0	2.0	9.945643342994561	0.6007041848953006	0.5698240059352279	1.8294718091694724	0.00538276988879935	-1234.4164247887597	-1194.483961225161	-1936.0377229867438	-41.260490676995154
1164000	0.21259652072113933	-4654.309441057712	-285.3955367026489	-4368.913904355063	8.327563839444553	21.73552471889003	4.024880251056901	5.871050753480425	0.8118133155492234	0.29748610791130564	1.0	6.0	5.0	6.0	2.0	8.673551519067418	0.6296380742202357	0.5006152432803972	1.8697466824993678	0.005224851832956777	-1235.5431691986241	-1195.2440036998928	-1938.126731456546	-41.716224000025115
1165000	0.5506115388954957	-4658.916011190086	-289.4979036594163	-4369.41810753067	8.206799030908833	5.734561343480628	9.579703219811318	7.065200460580566	0.9508441278451008	1.6621850648291128	2.0	5.0	4.0	6.0	3.0	10.022059293230203	0.6713721080441324	0.4711733378294691	1.8574545541263991	0.0052682572425211995	-1232.4661643608677	-1193.5692008301037	-1943.382742339698	-44.98642550940163
1166000	0.13615492083608527	-4665.832453156143	-288.51052254085766	-4377.321930615285	8.201566039101271	21.973016976513925	2.1399501843307434	3.6648474523991177	1.458457282476904	0.9988998173582495	7.0	1.0	5.0	6.0	1.0	9.75631232753468	0.6594245524769939	0.473612649098619	1.8669627984243875	0.005707954840733724	-1240.7119605167513	-1195.9998885627967	-1940.6100815357368	-44.46468436261454
1167000	0.5254329803333029	-4657.69993267815	-285.6873080601931	-4372.012624617957	8.202950104656708	34.003174171183964	4.661994830714519	3.6796529307424404	0.5815082514636747	0.09419072502696313	7.0	5.0	1.0	6.0	1.0	9.75631232753468	0.5321931038328301	0.60334590515725	1.8644609910099204	0.005221430699247942	-1232.8515384942737	-1194.2297353701658	-1944.9313507535178	-42.55144280370941
1168000	0.28454416852091047	-4658.864995116617	-280.2839774125552	-4378.581017704062	8.300199805502913	9.685443613584427	5.180454911076897	6.27847263742817	0.8619676150327943	0.041164270772521015	3.0	6.0	3.0	6.0	2.0	8.707215451678522	0.6836639258350866	0.6728101067895415	1.6435259673753722	0.005759330019895138	-1233.7327535768047	-1191.4792988231313	-1953.368965304126	-38.05471619152119
1169000	0.18586402486785403	-4653.737584744414	-282.70672280130447	-4371.030861943109	8.289991358690864	11.750176933163003	15.056542528548826	8.697961653756836	0.7850560906202612	0.03215615579548335	6.0	3.0	2.0	7.0	2.0	7.6358630138245225	0.5648005444716958	0.4621471053189141	1.9730523502093906	0.005397305861562678	-1232.1863769892416	-1193.1847515191862	-1945.659733434681	-38.864426820212586
1170000	0.04575758435590416	-4657.251295840923	-286.38164277166544	-4370.869653069258	8.24732187498832	15.100406382536125	17.213323376623926	2.3337834472472014	1.4185470507337936	0.07340652638004909	7.0	3.0	1.0	7.0	2.0	10.278179320866867	0.7048753834479363	0.6194044765484358	1.6757201400036283	0.005233907147675832	-1231.4363246007997	-1193.0942557114154	-1946.3390727570422	-42.385775692838386
1171000	0.22825980556534375	-4657.6065810813225	-288.61969801717765	-4368.986883064144	8.16986394174962	16.847000720090218	13.57034390643743	2.2994996305621203	2.323773082430416	0.3017867307262727	9.0	2.0	1.0	1.0	7.0	10.829147967200315	0.5710692371803072	0.6106022015439398	1.8183285612757538	0.0053174957394727315	-1235.6166356478134	-1193.5248995487034	-1939.8453478676279	-43.93145085030255
1172000	0.217395237180936	-4662.985595348972	-291.6012474626508	-4371.384347886322	8.193790616039522	26.449427222550806	3.466978543519491	7.1756970025492715	6.024339734405551	0.9771888559598999	7.0	1.0	2.0	3.0	7.0	10.097377782835801	0.5929527812901867	0.6290559855831938	1.7779912331266206	0.005996132143228804	-1230.3233295567081	-1193.584500092739	-1947.476518236875	-44.26764172925301
1173000	0.14027539365245012	-4655.445212687913	-285.509396533246	-4369.935816154667	8.203296334221369	15.4912393668691	5.856959005677342	5.571036158509529	3.5400467117578387	0.7746696111251176	2.0	2.0	4.0	2.0	10.0	7.1056265315447815	0.6298302203526952	0.5853377915682687	1.7848319880790369	0.006416806159912588	-1231.636872192185	-1193.3529243342932	-1944.946019628189	-40.876566979723506
1174000	0.06601284556898968	-4655.7321877607355	-285.9010230631878	-4369.831164697548	8.337472355436056	8.228612842507149	12.979652508358072	3.214805335484462	4.3984464470132725	0.6233083274225524	5.0	1.0	1.0	5.0	8.0	9.225348130867717	0.597311995989591	0.6051654001952154	1.7975226038151946	0.006198039393304604	-1233.9433312334957	-1194.9408886629576	-1940.946944801095	-40.65796661691696
1175000	0.1495669116564624	-4658.381764130599	-287.3736085094586	-4371.00815562114	8.354603798967048	35.25226912473352	2.2667956909113682	2.5821065144522026	4.1666976935782	0.9454657497078321	5.0	3.0	1.0	3.0	8.0	8.174140250926827	0.6088715794086629	0.5143916853495628	1.876736735241775	0.005823044756380302	-1236.1665576211246	-1194.0147372273789	-1940.8268607726366	-41.6509736972977
1176000	0.17989335959867536	-4653.286323267377	-284.9092910242452	-4368.377032243132	8.221740135835816	30.791984016985893	3.600101013596472	3.9762952921907777	1.326413648919986	0.45713353854652433	4.0	2.0	6.0	3.0	5.0	8.174140250926827	0.5936703518572518	0.575788798728086	1.830540849414663	0.005785571385359117	-1233.6661512259238	-1192.5844635883211	-1942.1264174288874	-40.85187481396059
1177000	0.3176510095173688	-4654.708405683623	-288.7264180424411	-4365.981987641182	8.8494766421383	27.82706716388825	8.318098542312045	1.702950417847557	1.8194239739162301	0.37949278393976826	1.0	4.0	8.0	3.0	4.0	8.048440054178027	0.5936703518572518	0.575788798728086	1.830540849414663	0.004634839793715441	-1233.8473771147962	-1188.906235459086	-1943.2283750672996	-44.70047299938304
