# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:14 BST 2015 [seed=1430153532829]
state	age(GOOSE_SHANTOU_2216_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
437000	0.14060601730952538	-4660.264688252822	-295.91281772075536	-4364.351870532068	10.209559602889128	56.9925564291497	5.513846653402741	4.795055630304629	2.616409825845992	1.0195396359160975	2.0	9.0	3.0	5.0	1.0	8.875642916739357	0.5742159009768919	0.5775623147506236	1.8482217842724817	0.004623613580589317	-1233.9766431663852	-1193.524078613846	-1936.8511487518358	-49.2468010400613
438000	0.1743842467378114	-4662.1798057916185	-291.7298386750027	-4370.449967116616	9.709501738577913	68.66939561048503	4.653512983749673	5.1892400931327565	1.7257159145429843	1.8927424349103017	1.0	5.0	7.0	6.0	1.0	9.130153010941282	0.5264503259237829	0.5942204698166178	1.8793292042595966	0.004630978210401674	-1236.3776966252915	-1193.8849330584035	-1940.187337432921	-44.45905456235412
439000	0.06215349945443194	-4663.0950234976135	-290.0823968546777	-4373.012626642936	8.77348662064033	17.484012986010438	22.659665529363757	2.9120526621028526	0.9868040122792214	1.0689069441362973	3.0	3.0	7.0	5.0	2.0	10.413549363159344	0.596479891248889	0.6252641319592214	1.7782559767918866	0.004463871816146364	-1236.2559183725127	-1197.0775620410209	-1939.6791462294018	-44.73544071897999
440000	1.1424211954392502	-4668.437213496872	-296.60949123040973	-4371.827722266462	10.418290159385448	51.62063161504694	17.990751952773657	3.342576612208843	1.9205156334320594	2.9154630783746915	1.0	6.0	7.0	5.0	1.0	8.143868064917246	0.6322748999520518	0.5102850488469085	1.8574400512010365	0.004085718837369041	-1238.4894671020838	-1191.8593341721016	-1941.4789209922765	-48.98974341138123
441000	0.31664634373258954	-4669.927821534308	-298.93800427717804	-4370.98981725713	9.784356687607499	47.377255765114676	7.877329111818172	6.413973418484597	1.626981998732444	6.958060664152158	1.0	4.0	9.0	5.0	1.0	9.636045167791218	0.5042200535565323	0.6867433565603951	1.8090365898830691	0.0040431094051764475	-1235.9702987991031	-1192.7369152532021	-1942.282603204825	-48.777675495873595
442000	0.6135111223099541	-4665.525625111319	-298.7138410919931	-4366.811784019325	9.563261737981108	118.20243086684188	29.675114157244916	5.674540236456352	2.2450935638957787	0.9449800438438796	2.0	2.0	7.0	6.0	3.0	8.357990780290205	0.6486751104503833	0.5433344815845246	1.807990407965089	0.00448285985256472	-1232.7967082052169	-1193.1631702691043	-1940.8519055450045	-49.59344310756801
443000	0.8387509371391948	-4664.071292127545	-299.57978622292944	-4364.491505904616	10.632465200957336	41.56080880467466	31.57395170420569	4.159778385788007	7.910061266199894	2.4375756834294267	3.0	1.0	4.0	4.0	8.0	8.584296507128805	0.5905950033129876	0.6014445123884746	1.8079604842985346	0.0037081027273889733	-1231.926368376921	-1192.7347956429737	-1939.8303418847213	-49.669925479067594
444000	0.6310169575514122	-4666.050566637054	-302.22675331228567	-4363.823813324768	10.188312736124336	53.913460424542194	51.098702310561386	5.10038149210851	2.88210832014053	3.2561768687146975	1.0	2.0	8.0	1.0	8.0	6.6785311690641445	0.6465521127597753	0.542031614115733	1.811416273124489	0.0038428412293333384	-1231.476170388185	-1191.4291846213591	-1940.918458315224	-52.73051666371722
445000	1.7411990246854687	-4667.614768223859	-300.9986758194228	-4366.616092404436	10.626758144508557	49.568075891097315	23.924249798436662	2.9153945246999973	5.367256319765758	2.7703701709146795	4.0	2.0	1.0	6.0	7.0	8.651007643870106	0.5119147475287197	0.6009055206493976	1.88717973182188	0.0038217874586664756	-1232.7263623087442	-1192.0035762468733	-1941.886153848819	-51.88890187413401
446000	0.5898130215015869	-4668.575303842876	-303.08862295702716	-4365.486680885849	10.21381510867518	631.2815700557836	8.85051640271495	8.560994064333665	5.575667152964205	1.3768827920254836	1.0	2.0	1.0	9.0	7.0	8.37301964266301	0.6085578619687747	0.6290134042061404	1.7624287338250821	0.003807069719738284	-1239.4127687532741	-1192.721954134299	-1933.3519579982758	-49.8839512554014
447000	0.802561251401497	-4669.337057714018	-308.01177363437404	-4361.325284079644	11.085783516893715	173.91932706692145	46.07151693917844	24.12078231658856	7.819251573921101	2.692261576464842	1.0	1.0	3.0	9.0	6.0	7.83035086047383	0.5937844328769589	0.6188480515718212	1.7873675155512172	0.003603374602921812	-1230.514316233437	-1191.0927987812868	-1939.7181690649202	-54.85128118693377
448000	0.10247570863022348	-4666.77770017073	-299.4997895343265	-4367.277910636403	11.060573615554313	97.29211777248656	10.728950372022885	1.9341627872787894	3.429094879699301	1.174219728723697	1.0	4.0	1.0	8.0	6.0	7.390520459705969	0.4380243245983512	0.5399538323819788	2.0220218430196675	0.003220517690338987	-1237.200934114894	-1192.600649378851	-1937.4763271426577	-51.414841116517216
449000	0.6140003161860204	-4670.645222187299	-306.1342596196528	-4364.510962567646	10.992560391837003	593.5172894730078	7.685456835713687	5.140812613989922	4.279370195817991	1.5299391075767381	1.0	2.0	2.0	11.0	4.0	10.42492505287095	0.6493719015835452	0.6433671098988942	1.7072609885175578	0.003465450745261799	-1234.1022555946138	-1192.9556472228091	-1937.4530597502232	-53.757275138970236
450000	0.6944067523775677	-4669.707318564358	-299.25442137806596	-4370.452897186292	9.792690956699797	26.61676375693278	27.678702294918853	18.392845602797227	4.916466828722823	2.341662883431225	1.0	1.0	3.0	8.0	7.0	8.084066437157999	0.49400744951504133	0.617457905321233	1.8885346451637228	0.004041734592514431	-1233.1469928365516	-1194.0455466383814	-1943.2603577113587	-50.06971651272766
451000	0.5538359305018433	-4675.124670155561	-297.74606109712107	-4377.37860905844	9.172098723586839	37.68088203576375	12.19410637962163	0.6996307912301577	3.369903925794853	1.022284311626688	3.0	2.0	1.0	6.0	8.0	8.084066437157999	0.5113579670667312	0.6991271774034429	1.789514855529823	0.004183559979519346	-1234.0422634299885	-1195.3039394315226	-1948.0324061969284	-49.27968079918146
452000	1.4259992620794666	-4664.760888848203	-288.8102301147775	-4375.950658733425	10.272601267932572	31.592180377964283	5.713927064588533	2.1763060051000123	1.4800133609221862	1.5496321854095076	1.0	3.0	5.0	1.0	10.0	10.999579868830962	0.5777106185232437	0.49111123237410814	1.9311781491026452	0.004400351260553538	-1237.8837659516291	-1195.632088730973	-1942.4348040508225	-44.04661829362451
453000	0.724791209257591	-4663.034815857749	-293.0335448389855	-4370.001271018764	10.570980028150316	39.93612262833651	8.679809435281244	2.913159558504332	5.019833627124516	1.4593202259445794	1.0	5.0	1.0	4.0	9.0	11.87677220989117	0.6874600992323598	0.5688648736764546	1.7436750270911827	0.003656449439253192	-1233.6130442676588	-1193.333689045328	-1943.0545377057765	-45.51541803388249
