# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:43 BST 2015 [seed=1430153561778]
state	age(DUCK_GUANGZHOU_20_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
1830000	0.3991177129310599	-4657.442444846911	-289.6363483145403	-4367.80609653237	9.01364816563995	20.176649909817243	13.917398123245777	5.532175319168938	0.7418802152030637	0.44087406673368146	4.0	1.0	7.0	5.0	3.0	7.336721472899912	0.5211232640113097	0.5648954269530773	1.9139813090356104	0.005177711003750362	-1231.2615572775137	-1190.1132662328357	-1946.4312730220208	-45.51509483792067
1831000	0.22156468057977108	-4653.872514597987	-286.3714278871705	-4367.501086710817	8.646351375052596	13.215703681158159	1.2020319032769646	1.4799804931649865	0.8292759659197002	0.8523241790197805	6.0	5.0	3.0	5.0	1.0	7.566896062820644	0.48443387173040353	0.5748755048992672	1.9406906233703265	0.005057973927667335	-1236.5490152954114	-1194.3531942009313	-1936.5988772144738	-45.62717478237424
1832000	0.10550435228821087	-4656.774624937513	-288.17531941581166	-4368.599305521701	8.878707774289921	14.089230074532232	5.161143446176326	0.4126184363979818	0.9896604051753115	1.555476657013597	6.0	7.0	3.0	1.0	3.0	8.391115546647317	0.6342310841251523	0.5213726443020742	1.8443962715727706	0.004509570845386107	-1233.6528445554636	-1192.0116667348698	-1942.934794231368	-45.33680132767385
1833000	0.31874189023733734	-4658.062268761116	-287.1691496713451	-4370.893119089771	8.5610251439089	15.20552704995002	9.015095586339491	1.7441579116317962	1.0925506696085523	0.6637696322781367	7.0	6.0	1.0	2.0	4.0	13.302872900707975	0.636368532296366	0.5737114670545955	1.7899200006490357	0.00512716115462679	-1233.8664483227296	-1193.6006589686751	-1943.4260117983667	-44.015354304721654
1834000	0.233278928595668	-4651.845375633735	-280.41577673833626	-4371.429598895398	8.17169535198594	16.03700765816456	8.851872811371281	2.5902790760511323	1.3029491852088102	0.12309347186588321	2.0	5.0	3.0	8.0	2.0	11.349350993072647	0.6291658792833968	0.6001551273112921	1.7706789934053082	0.005643766086412043	-1234.7616971863017	-1195.5390062804759	-1941.128895428621	-37.33920555302135
1835000	0.6084104511347501	-4651.445180397004	-280.5951469315243	-4370.85003346548	8.15670485528724	18.911786123004365	2.9542381342130315	4.46128451806312	0.7863991313169326	0.07347335615887853	2.0	2.0	10.0	5.0	1.0	7.5348825277460225	0.5988687564813475	0.6571177965806247	1.7440134469380248	0.005383580954092421	-1231.9488065019834	-1192.9821677107004	-1945.9190592527966	-38.16309321578027
1836000	0.19625472280219425	-4656.450363366655	-283.861795020423	-4372.588568346232	8.227277891880139	8.401822654343151	4.437875714039328	5.508312075061329	1.3855642800416759	0.12732047228357515	5.0	4.0	3.0	6.0	2.0	11.352440489069018	0.5993817466037382	0.5957745134771427	1.8048437399191157	0.0067173874355927095	-1237.4212240749584	-1193.2668071457022	-1941.9005371255714	-41.28157418498477
1837000	0.3494396893302991	-4647.044662421468	-281.40574431373597	-4365.638918107732	8.138103691076516	28.92125441676348	11.091143831121196	9.169697848654923	2.5457429370488978	0.1793518997720521	2.0	2.0	3.0	9.0	4.0	10.067829639357976	0.5989947966896649	0.5881849669820383	1.812820236328293	0.005489735144586847	-1236.2889868111495	-1194.1779070345422	-1935.17202426204	-34.99393211352457
1838000	0.23542193342839912	-4645.799976806853	-276.57589413336854	-4369.224082673484	8.155532922211574	31.28454375396273	11.378578762325708	1.1065310461654714	1.168566168341783	0.20521510604483184	1.0	4.0	6.0	5.0	4.0	7.7280599502550995	0.6690659575447371	0.5777792464691032	1.753154795986156	0.006073932042927529	-1237.4266789437243	-1192.4707009341644	-1939.3267027955956	-33.00490390300738
1839000	0.30150699542812465	-4649.6209884521195	-273.7921958268121	-4375.828792625307	8.095779557636801	21.585312451577945	23.240055298551724	4.462240677909896	0.41848770284534337	0.07383495782949163	3.0	1.0	9.0	3.0	4.0	8.85188376075114	0.6340904206282951	0.41511568891245926	1.9507938904592417	0.005498159313434436	-1237.6598845542076	-1197.912694510409	-1940.2562135606909	-29.899725397864216
1840000	0.941085717112264	-4655.923218147349	-283.1489005404655	-4372.774317606883	8.186808711289636	42.24824243662025	6.551374726849621	2.2552675770456094	0.5255479104945372	0.47127652253948427	3.0	6.0	7.0	1.0	3.0	6.5257613502400895	0.6112810935825409	0.6687625476443583	1.7199563587730968	0.005947786709211699	-1237.4353392817684	-1198.1418258106255	-1937.197152514489	-39.84880151763929
1841000	0.589061936720326	-4650.91829972023	-282.7957096839123	-4368.122590036317	8.159923703923806	356.9280745072156	3.7183702953664572	3.521199492193704	1.2670859084691373	0.25856895011625436	1.0	8.0	2.0	5.0	4.0	9.615401930165083	0.5980642993881315	0.675825972364431	1.7261097282474336	0.005135402964167782	-1234.575686370697	-1191.6771252800515	-1941.869778385569	-34.188656372677166
1842000	0.45058510398153306	-4654.140712808574	-282.2932220746793	-4371.847490733894	8.201015340384009	74.01391691589616	4.725905668248542	0.5181588477667111	0.5694474363814305	0.25952737146912375	2.0	12.0	1.0	1.0	4.0	7.6910025413167435	0.5254817974140549	0.5367966351144857	1.9377215674714556	0.004796494488780145	-1236.8145210216826	-1192.4972205320196	-1942.5357491801922	-39.325429184999074
1843000	0.2925217113612373	-4651.140599173331	-281.87055451182744	-4369.270044661504	8.333048755158575	60.89918993496048	3.3402645896721768	1.0672740261678095	0.6450637833253724	0.595726572099533	3.0	11.0	1.0	4.0	1.0	8.692996105544434	0.6069645578193127	0.6515567068902619	1.7414787352904217	0.005475029176864013	-1235.0303267812342	-1192.3982332610178	-1941.8414846192516	-38.49605030366324
1844000	0.4276907649295856	-4650.619627452362	-279.370020526631	-4371.24960692573	8.40830916596055	29.250505363052216	4.739925790077014	1.0672740261678095	0.11375084698847152	0.21620873825673922	2.0	11.0	4.0	1.0	2.0	8.995561195272352	0.6480233836009829	0.607813770480356	1.7441628459186576	0.005150650774252706	-1238.4606753971027	-1194.9113718252647	-1937.8775597033632	-38.32108630052081
1845000	0.1873042042565748	-4652.947407592017	-284.7416616374235	-4368.205745954594	8.484890618320147	29.7251182388344	4.303643543586244	6.017150062178493	1.6414924668486037	0.580224442635605	3.0	9.0	1.0	1.0	6.0	7.6144599129246355	0.542663460884798	0.6500601595786535	1.8072763795365452	0.005361868760702242	-1238.1527748421954	-1193.2899938754877	-1936.7629772369107	-39.75022690625513
1846000	0.5258315620297458	-4652.709496452084	-284.7294458153275	-4367.9800506367565	8.141757818077995	23.72883423025116	7.426801966185257	2.133186738353059	0.5329412606877578	1.1351022408672857	3.0	7.0	6.0	2.0	2.0	10.319605631223869	0.5658251166665587	0.531429977766704	1.902744905566734	0.005383455971422089	-1235.9703391009673	-1192.7415479484537	-1939.2681635873357	-40.690210433050076
1847000	0.8802293871326192	-4650.948656897841	-283.3203978679817	-4367.62825902986	8.229610429622094	5.9896749829995635	5.062815681761489	1.2668803751181876	0.2984642918934645	0.014571507191123165	4.0	9.0	5.0	1.0	1.0	8.803872385843396	0.6435690311385274	0.5148217914976804	1.8416091773637882	0.005563505125915819	-1231.6081084256666	-1192.3690703255215	-1943.6510802786713	-45.27734620846771
1848000	0.4705259300787956	-4648.129075497137	-276.3426055574122	-4371.786469939725	8.223871946779823	7.923026210441943	2.9646918963011766	1.2272952149833865	0.41242180757731994	0.05827229992005438	9.0	3.0	5.0	1.0	2.0	8.40653347228436	0.5449756018376843	0.4647402950772894	1.990284103085022	0.005273494200570077	-1236.5975470181609	-1192.7948225531902	-1942.3941003683744	-38.14417180692438
1849000	0.019205826387695524	-4658.986966068746	-282.3003770062487	-4376.686589062498	8.19994028436825	10.50683144151979	0.7480442778065238	1.0742346989274925	0.8245889653005707	0.1675216477928565	10.0	2.0	1.0	2.0	5.0	8.871288290614386	0.5650209417257954	0.6665353904931524	1.768443667781048	0.006277817982991458	-1238.4966371130558	-1197.9495774672705	-1940.2403744821713	-43.08853385236379
1850000	0.32374912594596594	-4652.31539000447	-278.93805987173295	-4373.377330132737	8.244245900109435	31.205090150113698	2.8769533887109313	1.0076565131613981	1.1649459895865715	0.27819874251529475	4.0	6.0	2.0	4.0	4.0	9.209585064749259	0.6404852651973716	0.6886434139374888	1.6708713208651353	0.005383830060896494	-1239.7178412618268	-1194.0398916206013	-1939.6195972503092	-36.523760498084194
