# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:12 BST 2015 [seed=1430153532123]
state	age(CHICKEN_HONGKONG_915_1997)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
440000	8.190088690107753	-4654.753768743758	-281.0730891025852	-4373.680679641173	8.402647593256155	23.579407302027033	5.645901996156057	4.340421675015884	1.030432724434878	0.12693463474454228	1.0	2.0	10.0	5.0	2.0	12.482881238135533	0.7287849147605334	0.4600649882616594	1.811150096977806	0.005091716559120229	-1235.5277337377624	-1193.4138609407898	-1944.7390849626208	-37.37178829357263
441000	8.190088690107753	-4652.680123725492	-279.39754252705427	-4373.282581198438	8.19739982442177	38.64479969619805	14.68448545963189	4.12790263108387	0.920246409884135	0.1334641112737833	1.0	3.0	9.0	3.0	4.0	10.769032408253821	0.7476024331901222	0.6058496163278334	1.6465479504820437	0.004897500931288949	-1234.7791639230504	-1193.4096063735342	-1945.093810901853	-34.40303052689084
442000	8.190088690107753	-4650.558379661219	-284.06548596027335	-4366.492893700945	8.21007926298539	53.407175298075025	11.58426629852303	8.389851577090873	0.6177569307618062	0.01631608302270973	1.0	1.0	11.0	6.0	1.0	7.234501547330924	0.7196584090894407	0.5136475412029431	1.7666940497076156	0.004960389326462366	-1235.5207269070916	-1194.156987032901	-1936.8151797609528	-38.7360212005448
443000	8.190088690107753	-4648.046808284024	-281.2452040613567	-4366.801604222667	8.224980078185727	28.041026923832376	65.69238761676246	3.997735544882565	0.4319069515481848	0.038239264345338475	1.0	1.0	11.0	5.0	2.0	9.921907068590352	0.5513184506519069	0.5216251364323345	1.927056412915758	0.005806229061239146	-1234.9359549576818	-1194.2703388494103	-1937.5953104155749	-34.693293007475496
444000	8.190088690107753	-4652.258568545345	-280.6645428584141	-4371.594025686931	8.240949423427242	34.91871342923008	16.74981011334292	4.1551371600019	0.28425971761006646	0.2661617259312853	1.0	2.0	10.0	4.0	3.0	9.022430289253705	0.759088621219097	0.4538533698886196	1.7870580088922825	0.005355372694902322	-1237.0307618126888	-1193.7608162372005	-1940.8024476370417	-36.38291337052884
445000	8.193961745938807	-4653.25706390001	-278.5047371782671	-4374.752326721743	8.24288620421662	23.13833628595479	6.533660059587721	2.8539896728856298	0.5001446498999464	0.18572593031309714	3.0	3.0	7.0	5.0	2.0	9.147631165345292	0.5282482110330047	0.5412724887589265	1.9304793002080682	0.005430901922891412	-1238.9937774952953	-1191.1414603697747	-1944.6170888566733	-36.25114844137164
446000	8.193961745938807	-4650.457710224436	-283.07582341098623	-4367.3818868134495	8.253910688929892	172.05960284085583	7.243839266280598	2.9322258182076695	1.4321309905349384	0.14307782624382537	1.0	3.0	10.0	2.0	4.0	9.380293173162462	0.6979848069992194	0.46551342163431375	1.8365017713664664	0.00555955408790418	-1233.8608546878138	-1193.3420071116752	-1940.1790250139607	-35.832738423386665
447000	8.250663211277216	-4652.3950067473725	-277.6307415185444	-4374.764265228828	8.253910688929892	105.28544855508471	7.535111885618701	5.189506290483487	0.6589041906079423	0.06597660874252212	1.0	5.0	8.0	2.0	4.0	6.91860649206495	0.6170249722005031	0.5664173525251227	1.8165576752743737	0.006187737952613645	-1233.3750434767035	-1194.6508732053567	-1946.7383485467676	-31.88825459713296
448000	8.250663211277216	-4646.64948882444	-275.7095974564967	-4370.939891367943	8.266693724111366	13.904393701534438	8.656573225172721	3.88367713605608	0.6909376147168338	0.08438231441502975	2.0	8.0	4.0	2.0	4.0	8.037509566576874	0.5069135275215059	0.542968059832319	1.9501184126461746	0.005907905660822286	-1237.967723298037	-1191.836406393368	-1941.135761676538	-33.58591078529815
449000	8.250663211277216	-4648.843718245136	-274.26611079040373	-4374.577607454732	8.292074110227132	10.71175009013721	3.8915515301096764	0.4214170454611201	0.05618959299479362	0.011882831413883983	8.0	6.0	4.0	1.0	1.0	9.376812878135963	0.6626358163859966	0.49493704913199127	1.8424271344820116	0.005581581738305351	-1231.5572131560398	-1195.1032006115108	-1947.9171936871821	-38.594627105597255
