# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:42 BST 2015 [seed=1430153561734]
state	age(DUCK_HONGKONG_Y283_1997)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
186000	8.012813519597527	-4657.113225744659	-292.345662213478	-4364.767563531181	9.405750208033725	20.298912737313017	6.4585528227380005	4.358427196774028	1.1634018036106133	1.6912362328882005	5.0	5.0	3.0	6.0	1.0	11.06461829006374	0.6273638130013411	0.6088195652648606	1.7638166217337938	0.004312583315280121	-1235.38806023114	-1195.8196146535493	-1933.5598886464916	-47.45976756037972
187000	8.012813519597527	-4660.615383788875	-292.65486402380265	-4367.960519765073	9.288807161059514	27.13883303972347	3.0805273859476046	4.409978497275476	4.246677519236766	0.8115990033967768	6.0	5.0	3.0	1.0	5.0	9.237915596915151	0.5195862019272554	0.5847686477460213	1.8956451503267187	0.004225166549404067	-1234.812458620706	-1192.5490668453792	-1940.5989942989877	-46.816839582366974
188000	7.822862903951017	-4669.368889594527	-297.024704035079	-4372.344185559448	9.13581580376272	10.471892579675007	4.371716999557598	6.8464929624223805	2.262537037188084	0.821485441239785	7.0	3.0	1.0	1.0	8.0	10.907079856062017	0.5795848790264859	0.5011497958573053	1.9192653251162044	0.003746924635627951	-1234.7595671920385	-1195.5490915585485	-1942.035526808862	-52.78690642758336
189000	7.767391100898377	-4668.37051882661	-299.9395625627158	-4368.430956263895	10.352146514595814	9.012340511249707	6.385187351881252	2.0893101377363728	4.928228481508094	5.49248799040515	5.0	6.0	3.0	4.0	2.0	10.110269804781598	0.6012083011359275	0.6898105370492222	1.708981161814846	0.004417640626794391	-1234.5418999370427	-1196.0199994412967	-1937.8690568855554	-54.275533703106646
190000	7.659801795308364	-4664.728430041064	-294.3562936567294	-4370.372136384334	9.584687766827228	13.274436195708597	3.3812168492376053	1.7427136409525754	3.8858639656594156	0.7168869205757225	6.0	6.0	5.0	1.0	2.0	7.805933855137175	0.6245595197538699	0.623682676501532	1.7517578037445933	0.004244657881503117	-1232.1538582126104	-1192.0405002872237	-1946.1777778845003	-50.55580536793415
191000	7.595190854781865	-4658.260468329695	-287.20848985562264	-4371.051978474073	8.484996198132563	9.7502293455143	3.8710779868388	0.8287574449115556	1.1015785707243995	0.3068505553919746	5.0	9.0	1.0	4.0	1.0	10.144398772624044	0.6050640037924574	0.7260140885763566	1.6689219076311814	0.0045632967974716205	-1234.341375470546	-1194.3276774647086	-1942.3829255388182	-46.597165600868585
192000	7.0615268152090955	-4657.780882708999	-285.73778478866313	-4372.043097920337	8.302185484772703	24.72609747552146	6.311046864973447	1.3727242766567922	0.25665511953380954	0.06863561157168198	3.0	8.0	6.0	2.0	1.0	8.293581006664942	0.6105309476413099	0.557028856488988	1.8324401958696976	0.005205003794737703	-1236.856498149049	-1191.4753834467876	-1943.7112163245001	-45.221857452360936
193000	7.823593092995136	-4650.137806346343	-282.92586349533576	-4367.211942851007	8.266047295877877	41.174552472370884	7.161484528158782	0.8359268202378581	0.42888974883723774	0.43364956951785644	3.0	7.0	7.0	2.0	1.0	9.64012790358505	0.6328689204658557	0.48106152797463597	1.8860695515595038	0.004829519263731436	-1234.861817329624	-1189.3954648214901	-1942.9546606998929	-40.20800714721116
194000	8.022278545844255	-4653.1604667002375	-280.509459381009	-4372.6510073192285	8.245829524436864	13.596469054459304	3.005714064862437	1.1112527461700956	0.9566999999663217	0.03092639949735767	4.0	8.0	4.0	3.0	1.0	8.96787406701088	0.6758545342618936	0.5601317402893407	1.7640137254487613	0.005030276665133063	-1237.7050768333813	-1191.297804321262	-1943.6481261645852	-40.19191789596005
195000	7.903003160250504	-4647.698351351592	-279.64957601479296	-4368.048775336799	8.248518078973659	19.79804032692681	3.4425700067374647	2.2089779942274466	0.6583826771784497	0.004814325230260351	4.0	7.0	4.0	4.0	1.0	9.919003468066379	0.6522416039031419	0.5462048306789644	1.8015535654178894	0.004950880504562187	-1237.1948637515395	-1189.9403702741029	-1940.9135413111562	-38.393758368862606
196000	7.913168012514152	-4651.383536471317	-279.91014913323687	-4371.47338733808	8.26701867800002	13.51519095606831	1.5613965689129279	2.235364999226713	0.4403920416616168	0.010022261948979223	9.0	6.0	1.0	3.0	1.0	10.08883732059454	0.5759841029343817	0.5083172225977705	1.9156986744678433	0.0054330267708485695	-1235.0178700499698	-1192.7182582047237	-1943.7372590833866	-39.93574391923246
197000	7.86440381754694	-4653.279608228008	-281.33943626912423	-4371.940171958884	8.254402300384536	8.319590660885543	5.375457142900793	1.050699398543652	0.6619728240721021	0.021366983782292577	11.0	2.0	1.0	5.0	1.0	9.04456615379057	0.5706014635560817	0.6380205885052431	1.7913779479386704	0.005834818273966429	-1232.0139292495635	-1193.9411375012712	-1945.9851052080492	-41.81887672136587
198000	7.86458287915328	-4650.296408604809	-283.51210193959156	-4366.784306665217	8.254402300384536	12.229145942115446	2.365131919350785	0.5910815112485	0.6271673918413523	0.2614171743789125	7.0	7.0	2.0	2.0	2.0	9.522345525842445	0.5659390647049576	0.6150233115060243	1.8190376237890133	0.004893971034453676	-1236.7631615056896	-1193.1976749110613	-1936.8234702484658	-44.202627902463654
199000	7.997379440490227	-4648.210452519496	-279.9819468721134	-4368.228505647383	8.287492688068518	22.39056058763363	5.925144454474672	0.8608395802098242	0.15235455424332142	0.09897382278935493	6.0	8.0	2.0	3.0	1.0	8.560573543934623	0.702011774438615	0.4603767247177499	1.8376115008436307	0.005444463265761157	-1232.9615398438132	-1194.9821942479673	-1940.2847715556027	-40.37465371041598
200000	7.968487961268615	-4661.988046562509	-293.08322662736583	-4368.904819935144	8.711979067684597	5.440551129958517	4.929539567226278	1.2982619666978854	1.2215415854655398	0.5917195342281837	7.0	9.0	2.0	1.0	1.0	9.123623898671282	0.5753030880068158	0.5767516617006929	1.8479452502924871	0.005145725738445331	-1232.5895717568867	-1194.9078782609306	-1941.4073699173264	-52.574957304426206
201000	8.102500836366305	-4651.8341951746215	-285.07319228667376	-4366.761002887948	8.895939076160431	12.605414416978999	1.4956149752999217	1.9061797182810116	0.30781504120855246	0.1931831829489689	5.0	10.0	1.0	3.0	1.0	7.682431405543732	0.5895004724577545	0.5767516617006929	1.8337478658415485	0.0050543723811116645	-1234.4776826762536	-1192.01857541929	-1940.2647447924041	-45.65587300582306
202000	8.101068982715482	-4657.153794328609	-286.98712301709884	-4370.166671311511	8.82699998574094	35.45524202871796	3.7710154240913303	4.015502167517368	0.7717745206395445	0.48923738804825895	4.0	8.0	2.0	4.0	2.0	6.9112308381709	0.6876710140231348	0.6166406924002631	1.695688293576598	0.004505197932190776	-1235.6390545632926	-1193.6687097346676	-1940.8589070135506	-43.203175760992906
203000	8.101068982715482	-4659.159230640981	-289.05606948532954	-4370.103161155652	8.988933465642086	24.363079652076017	7.225998087267964	3.8533969743177896	0.6977555968509331	1.127583982821088	3.0	10.0	1.0	2.0	4.0	8.860230930480064	0.6252130516712285	0.5514812675353167	1.8233056807934505	0.004232455977875654	-1235.354616530496	-1196.6745913472328	-1938.0739532779226	-44.63613971653328
204000	8.101068982715482	-4663.196539327784	-287.6811948554955	-4375.515344472288	8.594460650702183	25.331438772482798	7.663424396880905	3.2555894518770874	1.2701014135831987	0.6858554692622236	2.0	8.0	2.0	1.0	7.0	9.822763137847746	0.6201766355972606	0.6205672527265935	1.7592561116761416	0.005208486210878424	-1233.8017352343297	-1193.4795524148515	-1948.234056823107	-43.560483519092934
205000	8.101068982715482	-4662.071346975935	-292.1428517952301	-4369.928495180705	8.374763454434534	29.177817508895487	13.1140866586477	3.6118611436335075	13.507135701840248	0.7593280373353984	4.0	1.0	6.0	2.0	7.0	7.525043731959153	0.6088511014285163	0.5424019071226739	1.8487469914488055	0.005228241797122388	-1233.0386119300294	-1191.334833031051	-1945.5550502196247	-42.13741002564416
206000	8.101068982715482	-4661.505353099433	-293.9570142093315	-4367.548338890101	9.373323244293225	39.29898135993271	6.352639589508926	6.816721789371616	3.5773369503612678	1.8812988124652146	1.0	3.0	8.0	1.0	7.0	8.289531172140196	0.5680737063570142	0.5046265875883509	1.9272997060546306	0.004532646163708149	-1234.3635204255454	-1192.651807026488	-1940.5330114380677	-46.912862025365264
207000	8.101068982715482	-4674.990627036834	-300.3850429735453	-4374.605584063289	9.907120433402303	121.6482878590393	15.615045732132833	7.508300186882737	4.804753042309324	3.6537707839730107	1.0	3.0	1.0	1.0	14.0	8.407847086321526	0.3897330573866563	0.6727590888688028	1.9375078537445365	0.004275628937455568	-1237.5659914768391	-1196.1243104098974	-1940.9152821765522	-50.05167602495954
208000	8.207963836379342	-4669.007563050821	-296.9187385094174	-4372.0888245414035	9.620699434495632	29.204089092525848	25.527768824102242	16.6429856143831	3.8485878148309776	1.7567059007575214	2.0	1.0	1.0	6.0	10.0	7.946271048496279	0.5504100628822793	0.6727590888688028	1.7768308482489135	0.004185732328377443	-1237.9451185795567	-1192.6288330669643	-1941.5148728948827	-48.22567611323562
209000	8.207963836379342	-4664.90289007934	-294.0412353185187	-4370.861654760822	8.987895379156047	16.897858896625536	18.13201516793623	5.560369439624723	1.5339227052732525	1.0857348138165652	4.0	1.0	4.0	4.0	7.0	8.305322732066692	0.5506410539927518	0.6739935725544605	1.775365373452783	0.005146943574759119	-1233.1081464839524	-1192.4538291183271	-1945.2996791585422	-48.60690406922965
210000	8.207963836379342	-4666.168720896476	-296.37426880333186	-4369.794452093144	9.360827817087332	14.344061845226747	7.341308165071722	9.36274331793671	1.985260371628324	1.7673247936834082	4.0	3.0	1.0	5.0	7.0	8.305322732066692	0.70918419851415	0.5015036584826217	1.7893121430032233	0.004370593998265244	-1236.853642345129	-1193.1105066781706	-1939.8303030698444	-50.8667718283784
211000	8.207963836379342	-4669.758708412767	-299.5648239973551	-4370.193884415412	9.116935107060081	23.230157463303602	20.98472900229919	23.780900140985676	3.757186558534619	1.1057649323818448	4.0	1.0	2.0	4.0	9.0	10.242543579059062	0.5831369160847559	0.5478872356696697	1.8689758482455694	0.004114987832221456	-1232.2948120660853	-1189.5402114093617	-1948.3588609399644	-50.66362766632117
212000	8.152317528668222	-4667.3621191286875	-294.5749389934049	-4372.787180135282	9.77676712870716	36.309621378565	9.014044499104171	5.596804441271126	1.2175500966119812	2.1369461430348524	1.0	7.0	1.0	3.0	8.0	7.801758743973345	0.5614176604017607	0.6326552637871448	1.8059270758110895	0.004504300851387821	-1235.840905195786	-1187.7452636485052	-1949.2010112909911	-48.11827789007011
213000	8.152317528668222	-4661.853042690707	-290.36335599709673	-4371.489686693611	9.233342118462959	30.545014328063793	9.227439884059736	2.917851598177223	3.4344697593115083	0.7785067819299425	2.0	3.0	4.0	3.0	8.0	10.904653793797605	0.6201810435428283	0.5477241629383284	1.832094793518838	0.005027371928397445	-1234.6852972666313	-1197.981250515948	-1938.8231389110315	-44.32832569666106
214000	7.95885564844441	-4661.750607550989	-286.5202719656223	-4375.230335585366	9.472410034497626	52.14101342784879	18.945487252686128	1.3392887552906643	2.2537878338399167	0.5152338711013564	3.0	2.0	7.0	2.0	6.0	7.410386402162832	0.6213671180066102	0.5751607599948336	1.803472121998551	0.0049078614182061055	-1236.5513521716987	-1198.1057347689057	-1940.5732486447625	-39.959184588198575
215000	7.815176256857249	-4657.259764874315	-288.5837462220496	-4368.676018652265	8.587527977508902	33.48641840719733	36.648496513320154	3.472566584884951	0.7139629537600782	0.5308533297003781	2.0	2.0	9.0	4.0	3.0	10.65495523301867	0.6461943272942934	0.5599281644361902	1.7938775082695113	0.004325492150478003	-1235.3248014209742	-1193.8982210399438	-1939.452996191347	-42.289276247443794
216000	7.943128958409549	-4666.181643840444	-297.21420304106096	-4368.967440799383	9.918552158647671	146.24473690774872	23.8537172966059	4.266694723762984	1.8242023666455947	1.2393713744298602	2.0	2.0	10.0	3.0	3.0	8.396144443650316	0.6236277290154644	0.5069052605485543	1.8694670104359763	0.004331640192869047	-1236.4023062691417	-1194.3038023851395	-1938.2613321451024	-48.184509236441436
217000	7.943128958409549	-4657.989162362921	-297.40532450382534	-4360.583837859096	9.622256144659298	41.31702987976544	9.64947713061582	3.5533270317422665	0.7615711123346144	3.5360908402396483	2.0	5.0	10.0	2.0	1.0	7.5949458425545355	0.6340156117883134	0.5676215304996245	1.798362857712057	0.004380228426044669	-1233.9435333718743	-1191.7678892156925	-1934.8724152715295	-48.95509999142497
218000	8.019895092819189	-4663.569072525332	-294.7925794860571	-4368.776493039274	8.855748453503814	14.188547996530833	8.104541817556495	2.9973787274432597	2.9095754741101274	2.256508824470658	4.0	7.0	4.0	1.0	4.0	9.176348318005717	0.49722718485862294	0.5676215304996245	1.9351512846417473	0.004398988355018007	-1235.7709386233983	-1188.5709746847335	-1944.4345797311423	-50.06710576472908
219000	8.074576332362271	-4668.942353467967	-298.661229663222	-4370.281123804745	9.190778473690717	50.69667754925784	12.309490638007595	4.163335870424895	4.2177750006586106	1.2161025308769862	4.0	6.0	3.0	4.0	3.0	11.364885862571946	0.5540382288526494	0.45608466822106836	1.9898771029262772	0.004320555482042005	-1234.0831006169944	-1193.3570304700831	-1942.8409927176679	-50.86204415674055
220000	8.074576332362271	-4663.986797943717	-297.64848333174405	-4366.338314611972	9.82365809624864	20.39737047795155	17.319618186594074	5.484062581241709	1.7557124611597938	1.107925834793691	4.0	7.0	2.0	2.0	5.0	7.416397255078068	0.6191333180387214	0.41348177019819976	1.9673849117630735	0.0036308744941384846	-1231.5679672265042	-1193.2559929403699	-1941.5143544450984	-52.1219700344291
