# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:14 BST 2015 [seed=1430153533173]
state	age(CHICKEN_HEBEI_326_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
2260000	0.48325380767699566	-4666.5472457684855	-298.6820540823576	-4367.865191686128	9.60669740507967	98.21284947249094	29.77620198673897	5.956531953625817	2.322226608076356	1.2381830591608751	2.0	1.0	11.0	2.0	4.0	8.626441273430242	0.4953268929856893	0.6974857444233722	1.8071873625909267	0.0037672503731684083	-1234.9936653155412	-1190.6369894325712	-1942.2345369380153	-49.64744049113542
2261000	0.6738727352668161	-4668.1120350656365	-296.98538765952003	-4371.126647406117	10.31504917064527	70.85969833690454	15.490756416587473	3.9959745400372193	2.325014076167119	0.9837854167418452	1.0	2.0	8.0	8.0	1.0	9.829184774057202	0.5996921993701241	0.6642110098001732	1.7360967908296907	0.003861498167796373	-1235.437233490894	-1195.5218787416215	-1940.1675351736014	-49.46932128926085
2262000	0.2897619149614154	-4656.8499021850685	-293.905357523153	-4362.944544661916	9.982086910156118	75.26993987806706	7.9045210896046205	5.3275871156135555	0.9103865492310296	2.5077458682178353	1.0	4.0	8.0	4.0	3.0	7.830724265863887	0.5957214325188138	0.563839053311727	1.8404395141694472	0.003708450165483633	-1234.2841731367214	-1191.19791088706	-1937.4624606381344	-45.59569996317099
2263000	0.2897619149614154	-4668.300937435829	-301.78452866780066	-4366.516408768029	10.504403204115063	120.82479411235714	6.695581557293694	6.973064791724973	4.250374486730711	2.0613373248030005	1.0	8.0	2.0	4.0	5.0	7.830724265863887	0.5503388684247691	0.5673975174879187	1.8822636140873001	0.003114822914435932	-1233.22186001096	-1190.4687548259349	-1942.825793931134	-52.39739358249794
2264000	0.09886656406305826	-4665.906646674108	-299.0857856218439	-4366.820861052264	11.278750550244279	40.110682286791786	7.162559521468647	2.316873306558654	2.990701009580184	1.2824153181947575	3.0	6.0	2.0	2.0	7.0	9.249927736155158	0.5487132311088806	0.5405027832745989	1.9107839856165085	0.0032336258261816317	-1233.985164125614	-1193.2464118919283	-1939.589285034722	-53.09310568725701
2265000	0.5689879985201582	-4675.358602293787	-305.9092202097985	-4369.449382083989	13.392823519024686	24.53408055920863	8.993893285115686	5.688230423862242	2.6306635968812033	2.361988461235804	2.0	7.0	1.0	4.0	6.0	8.29666951572931	0.5487132311088806	0.6062366878627502	1.8450500810283572	0.0029247415276997006	-1234.330955454848	-1194.9255145294346	-1940.1929120997065	-59.8731639205536
2266000	0.9563824234419552	-4680.30996368334	-310.8357440835596	-4369.474219599781	12.97013094676166	71.39167706609501	21.15333854493111	21.3569429918862	12.834995180291939	3.1345615032115246	1.0	3.0	1.0	6.0	9.0	8.018249421832117	0.5714234394714799	0.5614930650931487	1.8670834954353595	0.0025329209290530174	-1232.2353004857105	-1194.1630944921505	-1943.0758246219195	-59.142681833034985
2267000	1.3530006499233291	-4682.351039284247	-309.26269847124286	-4373.088340813005	12.358539310458156	112.73706767883242	53.947991449826155	11.426787926235724	11.41136053548454	2.93061214496194	2.0	1.0	2.0	8.0	7.0	9.068736772133715	0.6942234142815391	0.5949421145339017	1.7108344711845473	0.002552438472480141	-1236.962149751081	-1194.1220152410117	-1942.0041758209118	-56.54484366886152
2268000	0.772880111807396	-4683.197673311804	-308.2002570104981	-4374.997416301306	13.306792085038085	107.1292934622609	31.783355581507966	17.29592736810268	4.812621424390795	1.1659114554134202	3.0	1.0	3.0	6.0	7.0	11.54777157915726	0.6211538587807809	0.6710028140951502	1.7078433271240572	0.0028238897083188432	-1236.4276714851528	-1198.5827518910662	-1939.9869929250865	-56.90514954051066
2269000	0.6328203207866011	-4667.6847867250835	-305.3010114769427	-4362.383775248141	11.042255982520151	73.92736187589136	29.72292229689031	15.880789229086075	6.225891979468389	1.2963309477538072	2.0	1.0	5.0	5.0	7.0	8.00766126536487	0.6394054964565394	0.49842969743480725	1.8621648061086415	0.002887210050022136	-1232.7366405489513	-1192.5219139948204	-1937.1252207043694	-54.83358657149853
