# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:11 BST 2015 [seed=1430153531149]
state	age(GOOSE_HONGKONG_W355_1997)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
494000	7.9985121616735455	-4662.090919160228	-298.2057811154012	-4363.885138044827	11.28105927437016	72.43640036641948	10.669506874346002	4.73271700324658	1.832941958571143	0.9263063990825751	1.0	5.0	7.0	3.0	4.0	9.662746478269021	0.6997160790730691	0.6209173428219171	1.6793665781050129	0.00331172144223713	-1234.9609450796488	-1191.7984894006233	-1937.1257035645551	-51.10223786240217
495000	7.720372641097395	-4665.902740501619	-299.2812080755463	-4366.621532426072	11.584119266643937	145.98644060737345	4.98055804017581	8.792145706079097	0.813973615417739	1.3224674762600335	2.0	6.0	6.0	5.0	1.0	7.691820562199968	0.6043760362636017	0.5361935219003346	1.8594304418360625	0.003552430841901931	-1236.3624573643037	-1194.310183037515	-1935.9488920242538	-49.92524529629999
496000	7.82741515628999	-4658.495538557969	-297.75180821306117	-4360.743730344908	10.382862251756496	37.30999665642582	2.552162730391969	2.9526566109498615	2.1029886514597815	2.2577605337665263	4.0	3.0	6.0	2.0	5.0	7.570054970871828	0.6025314103941849	0.5869836478344937	1.8104849417713205	0.003571740421478599	-1231.3896943477691	-1191.8365865551955	-1937.5174494419439	-52.45641019136575
497000	8.064180987865155	-4663.0112731296995	-302.9499104422691	-4360.06136268743	10.541866177865993	59.919465210153405	19.257486842521047	10.054649101986133	2.787575952670577	1.7351684781392014	1.0	4.0	7.0	5.0	3.0	8.814518519092783	0.7006224244986733	0.5384542699707539	1.7609233055305717	0.0035392872607334872	-1234.5594349930736	-1192.792427854685	-1932.7094998396715	-54.29467733888413
498000	7.653305952802097	-4668.471090506512	-306.2291437248914	-4362.241946781621	11.544402554809048	25.649293118248	18.685788874495813	9.478030201343186	2.544824258585506	1.6427003442162407	5.0	2.0	6.0	3.0	4.0	8.814518519092783	0.5844307552773487	0.5652053951632486	1.8503638495594017	0.0032521524249040507	-1231.2254011986283	-1190.5485180812739	-1940.4680275017186	-59.04465437596575
499000	8.142979344644584	-4675.093508853423	-304.09836890016857	-4370.995139953255	10.652606535506472	25.183142735273933	5.2039852196118295	11.443175620399648	2.362797871275319	0.46884350569500316	6.0	1.0	6.0	4.0	3.0	11.588781371316964	0.6224624602384804	0.5599023676999634	1.8176351720615551	0.003071258626699238	-1235.6871880088875	-1195.368619607908	-1939.9393323364593	-57.180328451602264
500000	8.081887717685802	-4680.76799514276	-308.829446625719	-4371.9385485170405	11.752409859046479	68.40727995428419	16.555956332401863	12.43624860327145	2.655164162258461	1.7773101006417082	1.0	4.0	9.0	3.0	3.0	9.253482362766617	0.5867016662909148	0.6235063891224956	1.7897919445865884	0.0028067300314662457	-1233.2044531687447	-1190.5408004219055	-1948.1932949263905	-59.7150453362285
501000	7.770534176023985	-4672.690809634074	-307.8227905160477	-4364.8680191180265	11.91201341642702	54.539029001829434	6.8231180666931435	11.22680562588948	3.499062020201544	2.464398001217911	1.0	4.0	8.0	4.0	3.0	8.523135959414802	0.7388443205295728	0.47803549831800696	1.783120181152419	0.003084635549793595	-1233.9136095672209	-1195.734359773931	-1935.220049776875	-59.04606302351617
502000	8.002288185122513	-4669.690554497173	-301.35034757156484	-4368.340206925608	11.408891563763175	28.490719757863264	20.64354209432864	9.585916283509865	3.9438233866255734	0.8257361899271216	3.0	2.0	6.0	2.0	7.0	8.739163875049071	0.48315192204356583	0.4555607239861604	2.0612873539702727	0.0029944499634889164	-1236.1732473199768	-1195.895234425705	-1936.271725179926	-53.755300737309334
503000	7.920975381973928	-4671.456485864404	-299.50473910247626	-4371.951746761928	10.580008767744452	39.89651658589406	4.23623006050556	10.88898704737761	1.540423392006111	2.4069297815822	5.0	1.0	5.0	4.0	5.0	8.783514459228572	0.5721658934208703	0.6510933129140526	1.776740793665076	0.003965754634778508	-1232.9860377341658	-1197.1792553912387	-1941.7864536365234	-51.05669093966549
