# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:11 BST 2015 [seed=1430153530562]
state	age(MALLARD_VIETNAM_16_2003)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
1317000	0.37928841493894994	-4660.9067359071105	-289.2399882899863	-4371.666747617124	9.233453342858299	18.273263780376208	9.029326542674118	5.56361666750722	0.7152589388308498	0.5888881960460901	4.0	6.0	3.0	1.0	6.0	6.730062246596967	0.6318253085911543	0.6248994207756428	1.7432752706331995	0.005467571431520511	-1233.7714876558337	-1192.2832927140164	-1945.6119672472744	-45.62021976787352
1318000	1.129333562423497	-4648.028096830358	-285.04664746908816	-4362.981449361269	8.218028191086589	26.26490705638894	14.61048464098241	2.0979513786460022	0.250830679678794	0.20896519700992555	4.0	7.0	3.0	1.0	5.0	6.452427216836621	0.6318253085911543	0.42974759828123194	1.9384270931276102	0.005640660662499908	-1232.047275412212	-1193.5370029595003	-1937.3971709895568	-42.69497214090342
1319000	1.1384851266783151	-4654.787413104954	-290.3432687830696	-4364.444144321884	8.79532604846397	12.506930807793914	4.071541042353841	2.614368286379694	1.6795561887839385	1.7281427382234213	7.0	2.0	3.0	3.0	5.0	7.069555277709471	0.6494909744303337	0.5041783904444082	1.8463306351252544	0.0055485206695701774	-1233.8295456071103	-1190.8037059844105	-1939.810892730363	-47.55381066467693
1320000	0.5834503531043744	-4650.666905801546	-285.2056256759455	-4365.461280125601	8.332731920038949	28.394743712210808	10.798861783640861	3.281042808863522	5.609898554760164	0.8469807687108836	1.0	1.0	3.0	5.0	10.0	7.578582961820188	0.6186161939939757	0.4853503815319106	1.8960334244741097	0.006468407207184175	-1235.2781338820453	-1193.5898246357788	-1936.593321607776	-38.392332059845884
1321000	0.5646096924816045	-4653.189622445955	-289.46897838789175	-4363.720644058063	8.446764987129205	29.754707117695386	8.649693429921527	5.934070152790171	2.3985147001118263	1.6685124182277111	3.0	2.0	6.0	3.0	6.0	7.3285707125126995	0.5982881718286163	0.6671379286127284	1.7345738995586513	0.005731218455689374	-1233.8364841021048	-1193.4989182017723	-1936.3852417541857	-43.54304813720524
1322000	0.3357098679537338	-4646.559732000171	-284.0630112545709	-4362.4967207456	8.265261325454993	21.999756953778768	4.287290898941836	7.525969030371805	4.629625568347296	0.8450435365371973	2.0	1.0	7.0	1.0	9.0	7.565201707626642	0.7187867688551682	0.5647588234483566	1.7164544076964714	0.0057932843695387036	-1233.1637721802294	-1188.627265101641	-1940.7056834637294	-37.844413862419685
1323000	0.7886419674399594	-4654.41351939485	-288.052276241927	-4366.361243152923	8.298119732108848	34.61569614138354	8.657783715858743	4.5557566660224245	5.361347724762927	1.08168563592112	2.0	2.0	5.0	3.0	8.0	7.515590295631981	0.6194828938127162	0.54956752783154	1.83094957835574	0.006919849513396036	-1230.2305231877679	-1189.9336259478757	-1946.1970940172791	-41.179206522365966
1324000	0.6640240290437669	-4642.878474282561	-282.0089724086337	-4360.869501873927	8.335120244118126	8.254388257385466	4.889302558421511	11.87564417210831	1.219753602093694	0.3929804157474159	2.0	6.0	2.0	4.0	6.0	7.143417348812425	0.6776837036028702	0.54956752783154	1.7727487685655858	0.00624208199910129	-1233.868198451775	-1190.446575654348	-1936.554727767804	-37.856471884572834
1325000	0.44248407820099545	-4649.6987227789205	-285.7461421165698	-4363.952580662351	8.787179972792778	18.407616263160723	5.286661146330066	5.829118291035108	1.5679326186948306	0.32588713581256645	3.0	5.0	2.0	6.0	4.0	10.924040664687107	0.6101888693340701	0.4921614572856547	1.897649673380271	0.005863087725747107	-1233.049653533318	-1192.1144525984778	-1938.7884745305546	-41.52669106179032
1326000	0.7354972546938283	-4643.849145907993	-285.65285105964983	-4358.196294848343	8.29946436640693	15.577652808831523	10.352186596790082	3.625500963290989	1.1106429990663027	0.2748549496005187	7.0	3.0	1.0	8.0	1.0	8.811774257549823	0.6800296581448524	0.5547190595122592	1.7652512823428845	0.005815087168028913	-1229.123355678843	-1191.3915355902648	-1937.6814035792354	-42.427863533423476
1327000	0.9417725095064486	-4653.916774896407	-290.5331015324397	-4363.383673363967	9.296794668471676	9.308429659169214	9.360816683605455	6.041734023639128	1.2869781608009998	2.6364361205360405	6.0	2.0	5.0	6.0	1.0	12.048713841260502	0.6664915596899686	0.5547190595122592	1.7787893807977682	0.0049262959184942215	-1232.9387499308934	-1193.2658270657635	-1937.1790963673104	-45.12365456811721
1328000	0.7163998809813297	-4653.458843723944	-290.3860751843037	-4363.07276853964	8.76084531155754	8.170871773397185	10.274137130213616	11.980869984870012	1.969797620283099	0.5143797034484426	6.0	3.0	1.0	9.0	1.0	6.960626106464659	0.5450471791211678	0.6058632668855759	1.8490895539932524	0.00527927057236074	-1229.582538195564	-1192.2468475477756	-1941.2433827962996	-45.646198778457354
1329000	1.060440226831291	-4654.103931284974	-286.25807111996954	-4367.8458601650045	9.417983644902737	11.563140484187041	3.951206753929122	7.272587035784734	1.6910068293837517	0.46708945860049145	2.0	4.0	6.0	1.0	7.0	10.044906425415352	0.7159379557128442	0.5951497926281442	1.6889122516590076	0.005539736349590721	-1237.2398143427342	-1194.9775645915727	-1935.6284812306976	-42.222350244095914
1330000	1.1768102432298262	-4651.944216614596	-288.3247584824855	-4363.619458132111	8.42016121229485	62.14885937885405	5.113369082301635	2.93908989148404	0.9487031435112231	0.3412137929105386	3.0	5.0	6.0	3.0	3.0	10.36645470311505	0.6013181129823066	0.5991638974990984	1.7995179895185913	0.005110153721248238	-1233.2267559706017	-1192.2071822390953	-1938.185519922414	-43.47179702313789
1331000	0.39594345389508856	-4647.286133752509	-285.3220226501866	-4361.964111102323	8.368656493877657	71.84210330705905	7.401419095083106	2.785864393147271	1.4958324454716476	0.4359568529125895	1.0	10.0	1.0	5.0	3.0	7.736494869357724	0.6031679548753687	0.5965105419299414	1.8003215031946864	0.005032371930485581	-1235.6079639410902	-1190.1977457634575	-1936.1584013977758	-39.73190678921706
1332000	0.7883937784510833	-4645.572577714609	-283.3854845723997	-4362.187093142209	8.456170883046985	32.85351027699158	4.902749812038021	3.7474625591433046	0.5927834506795012	0.07381905360814718	1.0	9.0	3.0	6.0	1.0	10.536166960036232	0.5951547246067449	0.5660103039117718	1.8388349714814796	0.005168012491039021	-1231.590752652736	-1190.0957161801025	-1940.5006243093708	-40.20379307750706
