# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:13 BST 2015 [seed=1430153532379]
state	age(TREESPARROW_HENAN_2_2004)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
554000	1.7719198533868052	-4680.352676779409	-307.81329871837255	-4372.539378061037	12.181527461027983	81.78074712291658	9.722700563057902	13.415087136344685	6.079120899700799	1.8419696493295474	1.0	3.0	5.0	4.0	7.0	9.664609488885922	0.6675275119589036	0.6132815574065124	1.7191909306345878	0.0026527699280060155	-1234.4211207629867	-1191.031461015323	-1947.086796282727	-57.54771959543085
555000	2.886249659967506	-4678.598167130209	-310.6381923634676	-4367.959974766742	13.48728629993965	115.74853275913283	20.067398758169823	14.695330882875957	2.0389367545371773	1.5388058117781136	1.0	6.0	6.0	1.0	6.0	10.812018453372895	0.5863023893601449	0.5513040389026281	1.8623935717372306	0.002478832872913645	-1234.1879400306289	-1191.0837938109576	-1942.6882409251557	-60.29800328451868
556000	0.20408111412204555	-4681.978765624646	-316.06458435880694	-4365.914181265839	13.651290137434083	197.08993143030133	18.035772546424347	18.38163494878879	7.537869433844491	1.0195962113669468	2.0	4.0	5.0	5.0	4.0	9.141800413398457	0.596414250077362	0.5041028365196693	1.8994829134029725	0.0026108962925224027	-1233.1407462218506	-1191.4426769917998	-1941.330758052189	-63.54622252998869
557000	2.4158414715828833	-4676.492608905842	-312.0108476561335	-4364.481761249708	12.819681177892466	93.5525229419218	11.95344674790965	16.663365348320408	5.817484531376032	2.3873754215957486	1.0	1.0	4.0	9.0	5.0	12.01617200071319	0.6031117965117565	0.5809188718286719	1.8159693316595755	0.0025821183232965397	-1233.3203632932643	-1194.9298857753392	-1936.231512181104	-60.852646729601794
558000	1.8678457206774954	-4681.412465794183	-313.29238902797465	-4368.1200767662085	12.374070083350478	77.23939076292265	50.057957952607666	7.801362016595982	8.362466192352453	1.5294333828083098	2.0	3.0	4.0	8.0	3.0	7.562687380308443	0.6469978187486399	0.5452715935429178	1.807730587708446	0.003061396116280659	-1234.5079585604453	-1193.313295756702	-1940.2988224490614	-62.16684922771653
559000	1.1979262738115546	-4677.175448713968	-310.8575112346719	-4366.317937479296	12.43600638137383	47.06791790348567	26.59832661656703	21.60545580880885	9.692312649195184	3.1831869553171575	1.0	2.0	2.0	8.0	7.0	8.35722888225727	0.5489354235891	0.5452715935429178	1.905792982867986	0.0027427918274496458	-1233.2439843168802	-1192.2942257772008	-1940.7797273852152	-59.993144300797546
560000	2.4294132827246018	-4672.048233732052	-308.9900731315867	-4363.058160600465	12.226907190543644	16.686691515660417	7.343430366892356	8.509856653602618	12.47826873865391	3.6983315899302274	2.0	1.0	1.0	9.0	7.0	10.799016464518967	0.6637365041249517	0.5452715935429178	1.7909919023321343	0.003141451064874072	-1235.1395354662877	-1191.643550988483	-1936.275074145695	-60.702236444012165
561000	0.6620365927126226	-4674.972246567592	-310.8759680227552	-4364.096278544837	12.452922243911928	66.16384710260967	20.56213513393047	13.319892679806124	6.8920536628865205	7.93565434779872	1.0	2.0	8.0	8.0	1.0	9.117279185775118	0.6084702671595488	0.5597217680171163	1.8318079648233387	0.002819351369985456	-1233.7206094446838	-1196.1771935144004	-1934.1984755857527	-59.8525300116799
562000	2.009667916348266	-4672.553806533342	-309.1252226492928	-4363.42858388405	12.312509885056086	112.00536740571759	11.495836644502633	10.705034364735704	4.208751067746593	3.432864378094276	1.0	5.0	1.0	6.0	7.0	10.43362487186342	0.5980602633759089	0.5635173454072724	1.8384223912168225	0.002627844421179498	-1235.0572923493335	-1193.184949716271	-1935.1863418184453	-58.5920694095238
563000	1.4334256172190032	-4671.455847716454	-302.0852312550027	-4369.370616461451	11.912692459977272	30.122654373563936	7.953771679344094	10.802544922519301	1.569970788740371	2.2640773967667362	3.0	6.0	2.0	6.0	3.0	10.43362487186342	0.7129659928610835	0.5546414947815889	1.7323925123573314	0.002992357738988916	-1236.2810595459616	-1191.3731142182276	-1941.7164426972624	-54.55698787683085
564000	1.0499616766035667	-4668.880568344231	-302.93828154341736	-4365.942286800813	11.182728324640621	63.510041907205604	13.357703717732536	16.688496304298884	4.277681207039171	0.9009014616699177	2.0	1.0	7.0	3.0	7.0	8.069104816942321	0.5599572371750756	0.5628532286891946	1.8771895341357336	0.0029946501009744625	-1233.23366663577	-1194.2299973265265	-1938.478622838516	-53.50250142701215
