# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:10 BST 2015 [seed=1430153528940]
state	age(PEREGRINEFALCON_HK_D0028_2004)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
1854000	1.4034823297737238	-4656.360130380401	-295.89677831887025	-4360.463352061531	10.042941045450277	25.17783144704165	9.176881584543173	11.981411715483722	5.136486153534319	0.9931187077084558	1.0	2.0	5.0	5.0	7.0	8.709851649484381	0.6803423246823804	0.5683684523425329	1.7512892229750752	0.004052214561445598	-1232.0387920318362	-1191.2392346312254	-1937.185325398469	-48.39333205226323
1855000	1.4177104062074875	-4662.916558907133	-296.825673442539	-4366.090885464593	9.582781970602525	202.04770099628448	11.752701654982479	2.4318012818522527	2.5770241068805344	1.6719263908642112	1.0	4.0	4.0	8.0	3.0	8.966368573604477	0.47310580558649185	0.6474445269194032	1.8794496674940933	0.0038085989956885436	-1239.1699396519452	-1192.1966022858564	-1934.7243435267917	-47.48374286102367
1856000	1.3021524522273604	-4657.425599365371	-294.80589774995315	-4362.619701615418	9.511930021341836	28.89537698708102	49.94498272197004	3.0444100713840823	0.7364457686009593	2.2278534174694458	1.0	4.0	8.0	6.0	1.0	8.938340685656284	0.6803139684952736	0.47083771253294954	1.848848318971765	0.003958993415464764	-1233.358219932204	-1192.8237687737615	-1936.437712909453	-45.85489035786976
1857000	1.8044689825246607	-4663.942038168424	-298.6975359844925	-4365.244502183931	10.448306742410248	123.90760473796978	15.277922547026394	4.2359833578522235	2.563036029110471	1.7309616665197034	2.0	2.0	12.0	2.0	2.0	8.188471515703801	0.5901128347521536	0.6687294874871813	1.741157677760653	0.003430152612043261	-1233.4862180530595	-1191.5878994475477	-1940.1703846833243	-49.905028837143846
1858000	2.066376366096768	-4664.504781854948	-301.51116290582127	-4362.993618949127	11.564494547488513	76.29192136141737	3.22379697955105	4.165073513496647	1.0487825308218182	2.7035705050282335	2.0	3.0	9.0	5.0	1.0	10.195461071225177	0.5583462711911733	0.6394251687003991	1.8022285601084154	0.0028380494045174326	-1231.5228906357859	-1189.7293157358042	-1941.7414125775376	-53.45279731263155
1859000	1.5311317817830687	-4667.078517346985	-305.23355363876533	-4361.844963708219	12.140201586385478	59.60662843201423	31.891837337985976	9.445122354564981	1.6619620353821134	1.1312780638860378	4.0	1.0	8.0	2.0	5.0	10.24881515240473	0.6307944789833924	0.5729449481051274	1.796260572911468	0.0031302744259092416	-1233.4755739113043	-1192.8312212726328	-1935.5381685242826	-56.56865361437218
1860000	1.9459699184875179	-4664.609940712022	-298.84949219580596	-4365.760448516216	10.60282412113796	35.80975554497533	11.86160710651508	3.8391500805371415	2.510320979439998	2.7786620793626553	4.0	1.0	13.0	1.0	1.0	9.988027427476997	0.5821878727875202	0.45641944753190267	1.9613926796805652	0.0034391216641152023	-1237.2859471243892	-1194.7634599925595	-1933.711041399267	-51.97851583080702
1861000	1.390166752367957	-4671.39317085465	-300.84452305045795	-4370.548647804192	11.155025978716955	59.985541955981354	8.774446737055333	5.994874461376403	1.149612841445224	0.9208030340184808	1.0	2.0	13.0	2.0	2.0	11.221519329726474	0.575389284186125	0.615716027158942	1.808894688654921	0.0035551679605487444	-1235.7552296744038	-1194.412352698536	-1940.3810654312517	-54.05556994269452
1862000	0.3022653737609122	-4672.373954260601	-306.48855263249715	-4365.885401628104	10.153982959545022	211.7080798397235	49.326572440615436	19.353125927916523	2.444943297153446	1.9511819840578057	1.0	2.0	7.0	9.0	1.0	10.067404447339364	0.7328557713848091	0.5526528537970481	1.7144913748181312	0.0034877815032111573	-1231.7328232504328	-1193.837631961892	-1940.3149464157786	-53.90526350719519
1863000	1.4996160652604367	-4660.674841320879	-296.80322082669437	-4363.871620494185	10.772403019549895	38.82093696823826	7.45442233825172	4.3986139212196145	1.8436372977178568	2.4941578890011504	2.0	2.0	9.0	6.0	1.0	11.069981682037737	0.5819875359881881	0.5865950388070379	1.8314174252047624	0.003847445111627172	-1235.324845755193	-1192.7118096940278	-1935.8349650449638	-50.16664247329041
