# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:42 BST 2015 [seed=1430153560927]
state	age(DUCK_VIETNAM_376_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
1854000	0.9122603774807896	-4660.530560071268	-290.9451468111984	-4369.58541326007	9.926361573371508	17.646914883233144	6.317088864511846	1.8583561997821934	1.5760036985341088	0.7742483209091042	4.0	8.0	3.0	1.0	4.0	9.535611857169437	0.5807735141459355	0.5988256930983864	1.8204007927556896	0.003956398664708477	-1234.5044154277566	-1194.0303602783426	-1941.0506375539708	-47.781152043137794
1855000	0.0782882109544607	-4659.841120912528	-291.7234410690826	-4368.117679843445	9.022960754572875	10.309234074927458	8.55868852907938	3.2771134564265414	2.7564521648864586	1.2243463671062849	1.0	7.0	3.0	1.0	8.0	8.597227620687292	0.6633774756450701	0.519901455556686	1.8167210687982553	0.004943701758543235	-1232.0661232290595	-1191.8985943631865	-1944.1529622511996	-47.80116553617854
1856000	0.19421258883116987	-4665.365990179712	-295.5875530094479	-4369.778437170264	9.663136084637614	24.308966921445023	8.538008338414233	5.638445051297995	8.40447310943052	1.9406727886603568	1.0	6.0	2.0	1.0	10.0	7.545932860748352	0.7196605901991387	0.5162599179948136	1.7640794918060592	0.004826514081628727	-1238.2675738319085	-1190.3324842068582	-1941.1783791314965	-48.190346722616255
1857000	0.2763379526021854	-4667.764539466026	-297.2387984146334	-4370.525741051392	8.858014902716475	25.40966591974806	17.621507573704992	4.26484667900676	1.4471952561558665	1.5890962381285392	1.0	2.0	2.0	1.0	14.0	7.756448938139041	0.7062630329275879	0.45666224816101214	1.8370747189114118	0.00436601808370713	-1236.0261553016041	-1194.3199358650934	-1940.179649884695	-51.39944656249936
1858000	0.04198463670036334	-4666.104619888692	-297.7340015394675	-4368.370618349224	8.958833467346931	34.58704989200137	16.911876745137413	10.471835008790448	3.8058304656491506	2.002949452968086	2.0	1.0	6.0	2.0	9.0	8.950568348799163	0.5738728008725307	0.5611448935406489	1.8649823055868318	0.004312193067318267	-1232.5353012227429	-1193.5710689526636	-1942.2642481738178	-49.68569189558431
1859000	0.2111889297325562	-4656.830374305509	-294.36502065116065	-4362.465353654349	10.020115749185106	97.78271457326782	12.72091430785007	5.479688292158296	1.840918507562617	0.9449217349706353	1.0	5.0	3.0	5.0	6.0	10.596362984403795	0.6536339035622891	0.5361697448719354	1.8101963515657868	0.00419222535646128	-1233.1690181554015	-1192.7095648537888	-1936.5867706451588	-46.315847427103925
1860000	0.2938286415343647	-4665.413606878956	-298.2141747325726	-4367.1994321463835	9.636654095912503	78.45350145429315	14.924856426802382	5.549629934659666	4.549058745143944	0.6049870917718286	1.0	1.0	8.0	3.0	7.0	7.94270269882875	0.6335767745208463	0.6098672281145263	1.7565559973646387	0.0035767836873425163	-1231.8832001587564	-1189.8162389658794	-1945.4999930217477	-49.71194706199245
1861000	0.4246486599508721	-4663.9853131756545	-297.37929327040433	-4366.60601990525	11.071004281857276	16.68622834020142	7.400416419578977	5.633726701306264	2.231233382363751	2.400533112624593	1.0	2.0	8.0	1.0	8.0	10.10795505211429	0.578693521291041	0.5956135012211455	1.8256929774878246	0.004155502781029575	-1234.3982255726148	-1189.9506330004656	-1942.2571613321702	-51.96872932549217
1862000	0.11244415264182997	-4667.351046116539	-298.7786708436725	-4368.572375272866	11.233475536891943	38.22216366681938	17.22339663614419	7.165460861980403	3.2621846790112325	1.0656671183333954	1.0	1.0	7.0	2.0	9.0	11.066257371545335	0.578693521291041	0.5056023843078921	1.915704094401078	0.0038524818351846016	-1233.875349391299	-1192.9501214051477	-1941.7469044764189	-51.182910164789355
1863000	0.5308893608995564	-4659.544704946722	-296.7095744351351	-4362.835130511587	9.552446451261098	52.084615511131794	7.098723335457976	9.150644376440946	4.837111931125588	1.8195725118775314	2.0	1.0	5.0	6.0	6.0	12.283196211515925	0.6470377509984793	0.6041833002645196	1.7487789487370125	0.004341067367902352	-1234.4449423913018	-1192.2061530729943	-1936.1840350472908	-47.956911488349995
1864000	0.08089980357528681	-4658.7735126106245	-294.26128800240537	-4364.512224608219	9.823966666820343	54.091797268257274	10.938248532170014	4.629324908683232	4.191467472152588	1.0071910982885148	1.0	5.0	3.0	4.0	7.0	8.236926677674921	0.5992163329314854	0.5731346737253635	1.8276489933431623	0.003950507062106233	-1233.1654876446964	-1191.8135329611123	-1939.5332040024105	-46.78390651336301
1865000	0.06377355106503613	-4654.400182303696	-287.85822343576854	-4366.541958867928	8.547473623776801	15.85079342754919	2.4611208341165858	0.9060019227332323	0.4885669945244258	1.0377190419242874	5.0	6.0	3.0	1.0	5.0	8.432217997716224	0.5469951513757974	0.55861981710441	1.8943850315198039	0.0045948478100445765	-1234.1037524894195	-1189.6798514495536	-1942.758354928955	-46.668935459373685
1866000	0.4854166174659076	-4658.451368645725	-292.0147396258868	-4366.436629019838	8.746680701794572	17.43765364901128	9.093152817498977	3.125207017408761	2.6882431233240944	1.2291668419266513	1.0	9.0	1.0	7.0	2.0	8.928063708131498	0.6054742914715614	0.575488005870892	1.8190377026575577	0.004536242103031795	-1232.9204448686885	-1191.0430597455754	-1942.4731244055733	-47.33128368568515
1867000	0.5089595807920335	-4658.929393599628	-295.6063601469778	-4363.323033452651	9.538220073604604	28.330282364539446	17.033487278364735	4.280786886505808	2.7423678443101758	1.2439159780066433	3.0	1.0	5.0	9.0	2.0	7.690116296460048	0.6472576941006926	0.5707872328000698	1.7819550730992488	0.004350600022286045	-1233.663911538161	-1190.3214343586678	-1939.3376875558215	-49.3751356556351
1868000	0.0183995453063166	-4663.427073255053	-294.5177080758449	-4368.909365179208	9.75517115600784	9.075321152445099	7.1676431626025	5.81427223569085	1.605346645449127	1.4650045913346872	6.0	4.0	3.0	3.0	4.0	7.8511669908369335	0.587071917121652	0.611653674821649	1.8012744080567102	0.00420104513809114	-1233.6908103501898	-1194.6628602470796	-1940.5556945819392	-50.79452573330908
1869000	0.0183995453063166	-4659.89775237898	-296.17521261886156	-4363.722539760119	9.36914767575739	28.446038246505594	11.996827804797595	13.43392613333875	1.6680999911680752	0.9826221555811706	3.0	2.0	4.0	5.0	6.0	9.633405163368236	0.6695206463218656	0.5214779879094529	1.8090013657686927	0.004441827760292315	-1231.4545639150022	-1190.2753455688392	-1941.9926302762774	-49.10657083423955
1870000	0.08157072002897126	-4658.42876143703	-288.29201130416413	-4370.136750132866	9.7594977807789	27.421792637977067	9.602365118662311	1.7154282139429502	3.619702820688974	0.8663579520739574	3.0	3.0	1.0	6.0	7.0	11.214406966501553	0.6674588002206412	0.5545350684348579	1.7780061313445121	0.004325458376494451	-1234.7223358603908	-1194.7821862130777	-1940.632228059398	-42.02731124357998
1871000	0.42426047475173734	-4658.6394005043285	-292.78476326696006	-4365.8546372373685	8.593410662077439	35.32297902767545	5.862732041780444	9.911260502808956	5.285637260453887	0.877085745307558	2.0	1.0	2.0	9.0	6.0	10.042829527770861	0.6674588002206412	0.5545350684348579	1.7780061313445121	0.0046305043070692335	-1231.7807479071387	-1189.9909398869897	-1944.0829494432403	-44.80728523458345
1872000	0.05203846518189113	-4659.314944728	-289.4672145964608	-4369.84773013154	8.59142387385302	52.69268161552637	16.2100927656062	3.760006872617745	0.8487220980514771	0.5974537697712202	1.0	7.0	3.0	5.0	4.0	8.057037342139099	0.589780507260869	0.5545350684348579	1.8556844243042843	0.004662786099169821	-1233.3922932517632	-1194.6233967983726	-1941.8320400814032	-43.77791690832897
1873000	0.042463907842738555	-4651.3572734541585	-286.0094514653551	-4365.347821988804	8.15385548079912	19.50658345499005	9.992707380623708	3.115932660048333	3.8146504951941487	0.3182012617351329	4.0	1.0	7.0	1.0	7.0	8.621935895301048	0.5975958519704611	0.7231288687853024	1.6792752792442478	0.005261814463406914	-1233.1204965645015	-1192.457602981762	-1939.7697224425397	-40.74614517947107
1874000	0.42859895957752414	-4655.7524296763495	-285.3907718601007	-4370.361657816249	8.403714906021703	16.082808678654747	4.887613885222003	2.6212590683012635	1.319449382015454	0.5460934222703597	7.0	2.0	4.0	1.0	6.0	10.088810407651907	0.6393268843363069	0.5236379632912266	1.8370351523724775	0.005214471159378575	-1235.488343580648	-1191.7979221926162	-1943.0753920429852	-42.68030627424811
1875000	0.7182350302655065	-4652.359025231056	-281.97250919511436	-4370.386516035942	8.449567587133698	16.173332502047945	4.935778180098631	5.334991684567429	0.6830238513016027	0.24728911350660537	6.0	6.0	1.0	3.0	4.0	11.616552468198073	0.6034661534697218	0.5249995339164519	1.8715343126138375	0.005298275663755937	-1238.0295445950221	-1192.146810328764	-1940.210161112156	-38.92912996393239
1876000	0.17379472171465338	-4655.177089545319	-288.35322583070064	-4366.823863714619	8.417103922502298	16.54831540085266	4.503448414424145	3.940564251648795	1.875647003337601	0.15423438940089826	3.0	6.0	7.0	3.0	1.0	9.219356054629912	0.6851666781250687	0.5678532042121698	1.7469801176627726	0.0052831468520031	-1235.8951191713606	-1193.7597732028937	-1937.1689713403646	-45.05035757408562
1877000	0.42441837596286636	-4657.560634632847	-281.4300495212219	-4376.130585111625	8.780444027701389	21.688353912414843	2.7517780462982957	3.0317947755937005	0.6854429227606009	0.3056435294407643	2.0	8.0	4.0	2.0	4.0	8.279892496872254	0.6126127049938896	0.6370922508514051	1.7502950441547163	0.005306576909395019	-1229.8170608750042	-1189.8874546247366	-1956.4260696118836	-39.259819287420086
1878000	0.1750071739076664	-4656.428779398603	-287.52149989215866	-4368.907279506445	8.27833423800248	12.68663037867177	6.565355296065478	2.6454674081600684	2.5160318840778806	0.08719891575562579	3.0	12.0	1.0	1.0	3.0	9.462563555598683	0.5861033821254074	0.5731121333515217	1.8407844845230816	0.005162624347575638	-1232.1885483158676	-1189.6997037191134	-1947.019027471464	-44.251036970140454
1879000	0.1426433613553229	-4652.055794750468	-281.0403038510987	-4371.015490899369	8.308848911368154	8.977075344105423	5.696719037877441	1.416278914020258	1.1762221694441939	0.30662618787061857	4.0	6.0	4.0	2.0	4.0	8.957245347851677	0.660924835254546	0.5377949808329219	1.8012801839125427	0.00462695222655473	-1232.6965884352962	-1193.8083468774414	-1944.510555586631	-39.97536505295697
1880000	0.308638231914683	-4660.183307040586	-282.6597926500996	-4377.5235143904865	8.290289930775929	13.946791398535469	2.90275103240668	4.369059673491014	1.1972936481160628	0.26505561833417124	6.0	5.0	3.0	3.0	3.0	9.056977602599904	0.4599808600571611	0.5789567741495389	1.9610623657933108	0.00554695975934724	-1236.8756312211224	-1195.6204932916903	-1945.027389877674	-39.99828547180394
1881000	0.7576528001199092	-4659.0485557141155	-286.84738902166	-4372.201166692455	8.241532384040745	13.755060198591293	4.551806550474325	4.191270981837234	1.152933537137816	1.072185381006035	6.0	2.0	3.0	3.0	6.0	6.901668093029155	0.5125443864803491	0.5789567741495389	1.9084988393701228	0.005117817009332958	-1236.6558212793136	-1189.0991695513985	-1946.4461758617433	-43.866711107055046
1882000	0.19732340952383187	-4653.724247162079	-286.66399660068817	-4367.0602505613915	8.678797277299406	17.10158981469473	4.217348348150255	5.563581508727596	1.903406708350487	1.1225652092976568	4.0	5.0	3.0	2.0	6.0	7.822627010794344	0.530796212272909	0.6491318567334006	1.820071930993701	0.005597225558114086	-1235.3954459200363	-1193.9600136125578	-1937.7047910287977	-42.37332598166856
1883000	0.1577053472853135	-4656.038817995464	-287.4858968259109	-4368.552921169553	8.778544226046035	16.835649799328984	7.694133025962551	5.909257153094642	1.3426646624585614	0.9853916836158904	2.0	8.0	1.0	4.0	5.0	9.621852533471852	0.5398193259391683	0.6344105314170808	1.8257701426437616	0.005082743693486179	-1234.1871731548665	-1196.3894640794545	-1937.9762839352322	-43.01856219476713
1884000	0.06632511465548507	-4659.208190792872	-294.9199914597706	-4364.288199333102	9.411492056058574	16.663004286562504	14.739401970719934	5.345977714336011	3.5982439660247025	1.3896949525737763	1.0	3.0	6.0	7.0	3.0	8.349725124245797	0.5540413852629674	0.6829047795997248	1.7630538351373186	0.0046363750209659355	-1233.4568159313155	-1192.9053005478738	-1937.926082853913	-48.959008905738315
1885000	0.01887014403477738	-4655.608897292075	-289.85556416069613	-4365.753333131379	8.472627908662409	20.404825261134008	4.270032877988557	9.117661164445723	2.4566736242392206	0.4877738301173014	2.0	1.0	7.0	8.0	2.0	8.885724801916368	0.5962272934435666	0.5356831259433544	1.8680895806130902	0.004909335497917843	-1234.3713121180535	-1191.2393985186152	-1940.1426224947097	-44.007898148641544
1886000	0.23240630354463487	-4661.315113824849	-291.4931911503773	-4369.821922674471	8.388025568891827	113.69148925900164	46.42588694887013	4.265906664595001	1.0594245828593214	0.7286827524271775	2.0	2.0	9.0	3.0	4.0	8.885724801916368	0.6107279000372596	0.6837664579351279	1.7055056420276236	0.004858234321469669	-1233.3769978825026	-1192.861437923854	-1943.583486868115	-42.800627959322405
