# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:12 BST 2015 [seed=1430153530994]
state	age(SWINE_ANHUI_2004)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
2148000	0.22461780671003473	-4666.727590775398	-302.22547557694827	-4364.50211519845	9.726094106778953	303.2278465109718	26.407504041708982	27.82785966121869	2.8411179151844905	1.251413018376276	2.0	1.0	2.0	10.0	5.0	9.29858034620976	0.5688067086589369	0.5477776142573291	1.883415677083729	0.003977319584677543	-1235.8641320361724	-1191.208532083175	-1937.4294510791028	-48.98081684264057
2149000	0.8505050582890821	-4664.178915164241	-294.95192949669746	-4369.226985667543	8.806877731262922	265.532855613056	190.14547320692355	18.502782528830757	2.622086185898641	0.5652971070348132	1.0	1.0	2.0	9.0	7.0	10.972032281879468	0.5688067086589369	0.5937334489016834	1.8374598424393747	0.005209581488591683	-1236.3449456996336	-1194.1244892455943	-1938.7575507223153	-40.83421028961637
2150000	0.3015877797135895	-4660.904636749761	-289.60750027267085	-4371.29713647709	8.503880845863515	39.827506372013374	15.714186994956009	6.729379599116175	1.3419739427161828	0.4849482039958441	1.0	1.0	6.0	5.0	7.0	7.745210113051629	0.5935426401443646	0.689700255396501	1.7167571044591292	0.005463530918669127	-1237.6998972889778	-1193.9951375756482	-1939.602101612464	-43.59403073731884
2151000	0.1195326973241233	-4652.772687354027	-287.8665144276647	-4364.906172926362	8.389079640155519	27.909181156271654	12.130573970862685	0.7564798110633429	1.2132105791123708	0.2799887731169116	3.0	7.0	2.0	2.0	6.0	8.090456487071592	0.5969503622933404	0.679186556225582	1.7238630814810727	0.004576357570043969	-1232.4397655680402	-1188.7922603453717	-1943.6741470129502	-44.11794137907299
2152000	0.15149374132929694	-4656.259957525705	-290.1271136469513	-4366.132843878754	9.131869323779155	47.16855068073241	3.5778382424650683	0.34754501786553504	0.7989494558863058	1.373557682190794	4.0	10.0	1.0	1.0	4.0	11.810990974125255	0.5442679411764815	0.5842402964888316	1.8714917623346818	0.004438903359501273	-1237.4014816289075	-1192.3362996545186	-1936.3950625953282	-45.50764645033332
2153000	1.2385864706144671	-4657.046696859479	-291.20915691654096	-4365.837539942938	8.790270740883333	87.91897298942384	6.178446429785809	1.8903987340148927	1.3626089387430338	1.1894966505799698	2.0	8.0	1.0	6.0	3.0	8.144199398078527	0.6367414826220124	0.5102537922099055	1.8530047251680772	0.004734952023691973	-1231.5105513897881	-1187.9811259800388	-1946.345862573111	-45.16325327363905
2154000	0.6040502784336681	-4659.481770905573	-291.202359312715	-4368.279411592858	9.192207501701093	34.286498715552575	4.841550978991563	1.9575862791925258	2.2069004459306445	0.45144260388274693	3.0	7.0	2.0	6.0	2.0	8.372597070085462	0.5311716595852514	0.5312492451967451	1.9375790952179988	0.004969164082171396	-1234.4906290911977	-1191.2741740237998	-1942.514608477861	-46.83138963109629
2155000	0.5799046033001831	-4653.476430037112	-289.3853547513095	-4364.091075285802	10.35212866381757	28.715990906215666	2.2838380832832135	3.5136442115398285	2.1527939850743194	1.1012584870036783	4.0	5.0	5.0	4.0	2.0	8.088077098760671	0.6662501910350134	0.5848385240838628	1.7489112848811192	0.0037558282722012495	-1235.3911921822669	-1194.9115780809207	-1933.7883050226137	-44.7300104043453
2156000	0.5430357736590699	-4657.15232232452	-292.18129317110646	-4364.971029153414	10.36524005402612	48.02516511179761	4.277531998463466	2.8385168950760145	1.610581594244534	1.9540036885896315	3.0	9.0	2.0	5.0	1.0	8.539070044016976	0.5946824993646451	0.6004378613517679	1.8048796392835822	0.004198498699133375	-1234.903683936797	-1192.9583990271421	-1937.1089461894749	-46.52814100457149
2157000	0.4792383043731455	-4657.727135591483	-295.8521440770158	-4361.874991514467	11.234810885857712	91.49199025084839	5.886530507592799	1.9070509673371794	0.6689334705655573	1.6615360646625117	3.0	9.0	2.0	5.0	1.0	8.86004338761995	0.7252356898303886	0.5802543025000761	1.6945100076695305	0.0036297900053967043	-1235.216565696688	-1191.6024227060323	-1935.0560031117466	-49.140491211174925
2158000	0.3065557624889036	-4662.914199618285	-298.28261761698593	-4364.6315820013	10.06838357447211	47.90082024390735	10.583715881978634	1.7324207093625807	0.7813939940754292	1.1605365344929377	4.0	8.0	1.0	2.0	5.0	9.632779373487468	0.5640369314341865	0.6642511928170524	1.7717118757487567	0.0037108561750002814	-1230.074847772736	-1191.0088353253705	-1943.5478989031933	-53.03761805062508
2159000	0.3065557624889036	-4663.067648859285	-297.13566288308846	-4365.931985976197	9.926468414481198	73.60610983429073	8.432127535040266	1.7018619630675467	1.9914606902175873	1.6401889713979476	1.0	11.0	2.0	4.0	2.0	9.666560084286052	0.7009926743931685	0.6434904228900047	1.6555169027168222	0.0036939466628117565	-1233.5573744240871	-1193.0975835608838	-1939.2770279912265	-50.34821962302257
2160000	0.33445233350224807	-4663.99695401693	-296.629417977055	-4367.367536039876	9.785790857308955	113.62621907731989	8.88425015237058	2.8681576638144737	0.5665938353497385	1.1421604149389752	1.0	12.0	2.0	4.0	1.0	9.896676283498474	0.5269357029013986	0.5124095638510814	1.960654733247515	0.0038149661789104185	-1232.2408134799794	-1189.8192019212288	-1945.307520638668	-49.32863660823635
2161000	0.42553904332895964	-4669.115697402735	-298.57374255745833	-4370.541954845277	11.254858217363745	34.4366754556057	5.425586847356212	5.433137498582607	0.7947030082301745	1.2758747639411951	3.0	8.0	5.0	1.0	3.0	8.741952930546976	0.510885009507415	0.5646285455601197	1.9244864449324603	0.0029177454778503884	-1235.3000181564446	-1193.2624083723176	-1941.9795283165145	-53.00431176562635
2162000	0.3380001153714325	-4667.570756191716	-301.78808072813354	-4365.782675463583	12.106428875472629	86.1013245820958	5.9765232416427905	2.7214372358429526	0.5818633424952572	0.6992273987617736	3.0	8.0	4.0	3.0	2.0	7.761862257627724	0.6985124593682126	0.5005202552026223	1.8009672854291603	0.002999639319017459	-1234.6349160986356	-1188.0372104203398	-1943.1105489446077	-56.38154163587239
2163000	0.213339475319958	-4668.648953465957	-298.6655139525239	-4369.983439513433	11.586679116388627	64.28941471810948	5.510671554350396	7.582506395523742	1.1501993740484446	0.962648065131622	3.0	8.0	3.0	2.0	4.0	6.932221083444926	0.78943897689655	0.5522553089587888	1.6583057141446562	0.003113862166480268	-1236.305005053361	-1194.6308075707796	-1939.0476268892926	-51.82125306234406
2164000	0.32481552551032067	-4670.700481833469	-307.02731786606785	-4363.673163967401	11.735261866208859	18.113543817142858	8.621556850177532	9.585609616586794	5.452053675463061	1.211953200188911	4.0	5.0	5.0	1.0	5.0	11.513339076661795	0.5982960631695696	0.5965959977765849	1.8051079390538403	0.002763784264099431	-1233.3697292382838	-1191.8689474898385	-1938.4344872392783	-60.04260176035968
2165000	0.9033815455156373	-4676.543030956203	-303.67609539767886	-4372.866935558524	12.10380073551739	60.227837102769236	9.491146317624512	5.448845639061653	2.2007256004948146	1.2169124819201167	3.0	2.0	6.0	6.0	3.0	6.326345345769635	0.6539025426830725	0.5260294959934024	1.8200679613235198	0.0030136529804776608	-1234.1811652430026	-1195.5992181383024	-1943.0865521772198	-56.95351059572145
